QB Name,GP,Total Adj EPA,Adj EPA Per Touch,Adj EPA Per Play
J.Allen,12,144.91670406232853,0.32061217712904544,0.14772344960482012
B.Purdy,12,136.26844157220677,0.3838547649921317,0.14684099307349868
D.Prescott,12,124.285577224953,0.2824672209658023,0.12317698436566205
T.Tagovailoa,12,95.30593037255029,0.22746045434976203,0.1000062228463277
P.Mahomes,12,92.24640802854418,0.20010066817471622,0.09509938972014864
J.Hurts,12,85.65144282226443,0.1964482633538175,0.08463581306547868
C.Stroud,12,70.01453332330736,0.15387809521606013,0.0706503868045483
J.Herbert,12,67.59364389392863,0.14536267504070674,0.06918489651374476
K.Cousins,8,42.9095192122072,0.13082170491526585,0.06778755009827361
J.Love,12,62.608012140429835,0.1439264646906433,0.06569571053560319
A.Richardson,4,15.270751193747087,0.16420162573921598,0.048021230169015994
J.Browning,4,12.815873909151906,0.14730889550749318,0.042019258718530836
M.Stafford,11,37.55393551288126,0.09365071200219766,0.041404559551137005
T.Heinicke,3,10.704835190840557,0.13550424292203236,0.041331410003245396
T.Lawrence,12,38.85758248177598,0.09100136412593905,0.03828333249436057
J.Goff,12,36.495378951420896,0.08020962406905692,0.03613403856576326
L.Jackson,12,30.202300150790528,0.08320192879005656,0.030662233655624902
B.Mayfield,12,29.06373079161727,0.06620439815858148,0.030306288625252628
R.Wilson,12,13.625996187993625,0.035670147088988545,0.0146044975219653
G.Smith,12,12.78621658152466,0.029735387398894555,0.013402742747929412
J.Burrow,10,8.043216485827756,0.020676649063824565,0.010079218653919494
D.Carr,12,6.821034723205273,0.01627931914846127,0.006564999733595065
D.Watson,6,1.9219175394807682,0.010062395494663708,0.0034880536106729003
S.Howell,13,2.177436215099263,0.003820063535261865,0.0019849008341834666
G.Minshew,11,-2.8634799158056126,-0.007954110877237812,-0.0030237380314737197
T.Taylor,6,-4.432431870028759,-0.045695173917822254,-0.004486267074927893
J.Fields,8,-4.771866738556946,-0.018935979121257725,-0.007409730960492153
W.Levis,6,-9.15889860906011,-0.044896561809118184,-0.018806773324558747
J.Garoppolo,6,-8.394538166217906,-0.046123836078120366,-0.01925352790416951
J.Dobbs,12,-39.16089527541683,-0.09236060206466233,-0.020301138038059528
D.Ridder,11,-27.886770045512705,-0.08607027791824909,-0.03034468992982884
A.O'Connell,6,-14.179255883699753,-0.07385029106093621,-0.030427587733261274
T.Bagent,5,-13.78058424478423,-0.09248714258244449,-0.03352940205543608
K.Murray,4,-14.453251186320418,-0.1003697999050029,-0.04502570463028168
K.Pickett,12,-46.39302958957749,-0.13331330341832612,-0.05020890648222672
M.Jones,11,-53.81733093870309,-0.14584642530813843,-0.06136525762679942
R.Tannehill,6,-28.559719789423802,-0.16135434909278984,-0.06332532104085101
B.Young,11,-69.71408905055551,-0.16326484555165227,-0.07569390776390393
B.Zappe,5,-29.478974642268227,-0.41519682594743984,-0.07696860219913375
T.DeVito,5,-31.668416105821688,-0.2381083917730954,-0.08183053257318265
P.Walker,5,-40.087557603332534,-0.3285865377322339,-0.08714686435507073
D.Thompson-Robinson,4,-34.76480598150009,-0.30230266070869644,-0.09820566661440704
T.Boyle,3,-23.795582108439813,-0.2766928152144164,-0.10212696183879748
D.Jones,6,-52.641388227009834,-0.27560936244507767,-0.10809319964478406
Z.Wilson,10,-95.40686578125488,-0.2635548778487704,-0.1221598793614019
