Player,POS,TM,GP,Total EPA,EPA per Game,EPA per Play ( all plays contributed ),EPA per Play ( all offense ),Total Passing EPA,EPA per Completion,EPA per Attempt,Rushing EPA,EPA per Carry,Receiving EPA,EPA per Reception,EPA per Target
Peyton Manning,QB,['IND'],17,150.7228,8.866,0.2876,0.1122,170.95450965251655,0.5227966656040262,0.3481761907383229,-20.23171969472549,-0.6130824149916816,0.0,0.0,0.0
Tom Brady,QB,['NE'],18,139.5819,7.7545,0.224,0.0936,125.98214384783577,0.3414150239778747,0.21244880918690687,13.59971542510097,0.45332384750336563,0.0,0.0,0.0
Ben Roethlisberger,QB,['PIT'],16,124.4439,7.7777,0.3028,0.0796,113.73433628919582,0.5032492756159107,0.3150535631279663,10.7096009048385,0.21419201809677,0.0,0.0,0.0
Carson Palmer,QB,['CIN'],17,123.5427,7.2672,0.2275,0.0878,136.12009061096995,0.3934106665056935,0.26690213845288224,-12.577373235507658,-0.38113252228811084,0.0,0.0,0.0
Matt Hasselbeck,QB,['SEA'],19,118.5987,6.242,0.1964,0.0744,117.13213754757194,0.32902285827969646,0.211812183630329,1.4665561575214778,0.028756003088656428,0.0,0.0,0.0
Drew Brees,QB,['LAC'],16,73.5027,4.5939,0.1411,0.0555,65.66983736637434,0.20331218998877504,0.13133967473274868,7.832841985709175,0.37299247550996073,0.0,0.0,0.0
Trent Green,QB,['KC'],16,67.2113,4.2007,0.124,0.0493,66.6419708203781,0.210227037288259,0.13144372942875365,0.5693025849985565,0.016265788142815898,0.0,0.0,0.0
Jake Delhomme,QB,['CAR'],19,55.7556,2.9345,0.1006,0.0376,63.58668762917911,0.20122369502904783,0.12111750024605544,-7.831090036834634,-0.2700375874770563,0.0,0.0,0.0
Jake Plummer,QB,['DEN'],18,41.4238,2.3013,0.0725,0.0286,52.12189597746422,0.1681351483144007,0.1018005780809848,-10.698145783532354,-0.1813245048056331,0.0,0.0,0.0
Marc Bulger,QB,['LA'],8,40.0491,5.0061,0.1348,0.0296,46.04429527323916,0.23981403788145395,0.1604330845757462,-5.72834019929539,-0.6364822443661544,-0.2669,-0.2669,-0.2669
Drew Bledsoe,QB,['DAL'],16,34.565,2.1603,0.0648,0.0249,50.513490196761346,0.16837830065587114,0.10122943927206683,-15.94847227387989,-0.4690727139376438,0.0,0.0,0.0
Eli Manning,QB,['NYG'],17,32.8082,1.9299,0.0541,0.0227,29.68950142648422,0.09766283363975073,0.05154427330986844,3.118674000154001,0.10395580000513337,0.0,0.0,0.0
Kurt Warner,QB,['ARI'],10,29.9028,2.9903,0.0769,0.0215,32.36587829214926,0.1337432987278895,0.0863090087790647,-1.0657789681000662,-0.08198299754615894,-1.3973,-1.3973,-1.3973
Mike Vick,QB,['ATL'],15,22.5848,1.5057,0.0462,0.0173,-12.005107827900936,-0.056098634709817456,-0.031020950459692342,36.616358761480384,0.36253820555921173,-2.0265,-2.0265,-2.0265
Byron Leftwich,QB,['JAX'],12,21.2841,1.7737,0.058,0.0151,20.603303768897646,0.10675286926889972,0.06187178308978272,0.680755631069844,0.020022224443230707,0.0,0.0,0.0
David Garrard,QB,['JAX'],8,18.1311,2.2664,0.0876,0.0129,8.026626927820113,0.07947155374079319,0.045605834817159734,10.104454596101238,0.3259501482613303,0.0,0.0,0.0
Mark Brunell,QB,['WAS'],18,16.0907,0.8939,0.0289,0.0108,26.92950295415021,0.09254124726512099,0.053220361569466815,-10.838840598329694,-0.2167768119665939,0.0,0.0,0.0
Aaron Brooks,QB,['NO'],13,15.3357,1.1797,0.0322,0.0115,3.988001698251087,0.016616673742712862,0.009252904172276304,11.347673433118842,0.2521705207359743,0.0,0.0,0.0
Brett Favre,QB,['GB'],16,11.7313,0.7332,0.0188,0.0087,20.684105282997354,0.0556024335564445,0.034075955985168625,-8.952836399448143,-0.4973797999693413,0.0,0.0,0.0
Patrick Ramsey,QB,['WAS'],4,9.051,2.2628,0.2828,0.0061,10.133134876701098,0.6755423251134065,0.4053253950680439,-1.0821332508287802,-0.15459046440411145,0.0,0.0,0.0
Brad Johnson,QB,['MIN'],11,8.0662,0.7333,0.0259,0.0063,11.722687192868218,0.06405839996102851,0.04000917130671747,-3.6564473025237465,-0.20313596125131925,0.0,0.0,0.0
Jay Fiedler,QB,['NYJ'],2,6.1218,3.0609,0.4373,0.0051,6.932446951636815,0.8665558689546019,0.5332651501259089,-0.8106034254070416,-0.8106034254070416,0.0,0.0,0.0
Sage Rosenfels,QB,['MIA'],4,5.5354,1.3838,0.0826,0.0041,7.220065034044206,0.21235485394247663,0.11836172186957714,-1.6846783067453748,-0.2807797177908958,0.0,0.0,0.0
Jeff Blake,QB,['CHI'],2,5.0918,2.5459,0.5092,0.0039,7.707210742707951,0.9634013428384939,0.8563567491897723,-2.6153918857582963,-2.6153918857582963,0.0,0.0,0.0
Quinn Gray,QB,['JAX'],1,4.5331,4.5331,0.2667,0.0032,6.200917393511915,0.7751146741889894,0.44292267096513677,-1.6677925649729985,-0.5559308549909995,0.0,0.0,0.0
Kerry Collins,QB,['LV'],15,3.8966,0.2598,0.0067,0.0029,10.857960313498893,0.035953510971850636,0.01918367546554575,-6.961331755018946,-0.38674065305660815,0.0,0.0,0.0
Donovan McNabb,QB,['PHI'],9,2.8948,0.3216,0.0076,0.0021,8.229029272040108,0.03900013873004791,0.023050502162577334,-5.334222911168579,-0.21336891644674316,0.0,0.0,0.0
Bradlee Van Pelt,QB,['DEN'],2,2.7834,1.3917,0.1465,0.0019,-6.697014926404744,-3.348507463202372,-0.837126865800593,9.48041846235485,0.8618562238504409,0.0,0.0,0.0
Charlie Batch,QB,['PIT'],3,2.3846,0.7949,0.0507,0.0015,3.196493869790836,0.138977994338732,0.08879149638307877,-0.8119243184900372,-0.07381130168091248,0.0,0.0,0.0
Rex Grossman,QB,['CHI'],3,2.0621,0.6874,0.0255,0.0016,1.9790320137083741,0.05348735172184795,0.024737900171354677,0.08306838099513766,0.08306838099513766,0.0,0.0,0.0
