Player,POS,TM,GP,Total EPA,EPA per Game,EPA per Play ( all plays contributed ),EPA per Play ( all offense ),Total Passing EPA,EPA per Completion,EPA per Attempt,Rushing EPA,EPA per Carry,Receiving EPA,EPA per Reception,EPA per Target
Lamar Jackson,QB,['BAL'],16,179.3279,11.208,0.3135,0.1392,170.2726,0.5676,0.3852,9.0553,0.0697,0,0,0
Josh Allen,QB,['BUF'],16,176.8519,11.0532,0.3023,0.1395,121.2803,0.395,0.2511,55.5716,0.5448,0,0,0
Jared Goff,QB,['DET'],16,167.9283,10.4955,0.3098,0.128,169.678,0.4674,0.3353,-3.5568,-0.1016,1.807135147984507,1.807135147984507,1.807135147984507
Joe Burrow,QB,['CIN'],16,139.4268,8.7142,0.2155,0.1063,121.3864,0.287,0.2003,18.0404,0.44,0,0,0
Jayden Daniels,QB,['WAS'],16,126.5759,7.911,0.2068,0.0942,74.1435,0.2281,0.1584,52.4325,0.3641,0,0,0
Baker Mayfield,QB,['TB'],16,109.6365,6.8523,0.1861,0.0833,106.2245,0.2752,0.1974,3.4121,0.0669,0,0,0
Patrick Mahomes,QB,['KC'],16,104.1189,6.5074,0.1627,0.0782,80.6498,0.2057,0.1388,23.9116,0.4123,-0.4425406901849518,-0.4425406901849518,-0.4425406901849518
Brock Purdy,QB,['SF'],15,101.4028,6.7602,0.1946,0.082,83.4024,0.278,0.1833,18.0004,0.2727,0,0,0
Kyler Murray,QB,['ARI'],16,79.9731,4.9983,0.1376,0.0636,64.535,0.186,0.1275,15.4382,0.2058,0,0,0
Jordan Love,QB,['GB'],14,79.2825,5.663,0.181,0.0627,73.7052,0.2824,0.1785,5.5773,0.2231,0,0,0
Tua Tagovailoa,QB,['MIA'],11,78.5832,7.1439,0.1889,0.0607,78.5373,0.2699,0.1968,0.0459,0.0027,0,0,0
Jalen Hurts,QB,['PHI'],15,76.8052,5.1203,0.1503,0.0578,35.8523,0.1446,0.0993,40.9529,0.273,0,0,0
Sam Darnold,QB,['MIN'],16,72.0455,4.5028,0.1268,0.0557,77.3038,0.2254,0.1534,-5.2584,-0.0822,0,0,0
Justin Herbert,QB,['LAC'],16,51.8557,3.241,0.0973,0.0421,49.0882,0.1615,0.1049,2.7674,0.0426,0,0,0
Derek Carr,QB,['NO'],10,43.0545,4.3055,0.1455,0.0341,44.5516,0.2357,0.1597,-1.4971,-0.0881,0,0,0
Matthew Stafford,QB,['LA'],16,41.24,2.5775,0.0754,0.0329,45.1458,0.1328,0.0873,-3.9058,-0.1302,0,0,0
Bo Nix,QB,['DEN'],16,33.2959,2.081,0.0534,0.026,12.9525,0.037,0.0241,16.503,0.1942,3.840417307628403,3.840417307628403,3.840417307628403
Malik Willis,QB,['GB'],5,20.1438,4.0288,0.3357,0.0159,16.6531,0.5551,0.4062,3.4907,0.1837,0,0,0
Trevor Lawrence,QB,['JAX'],10,19.1374,1.9137,0.0617,0.016,9.8717,0.0574,0.0348,9.2657,0.3564,0,0,0
Kirk Cousins,QB,['ATL'],14,18.5718,1.3266,0.039,0.0143,35.2882,0.1165,0.0779,-16.7163,-0.7268,0,0,0
Justin Fields,QB,['PIT'],10,14.9188,1.4919,0.0669,0.0113,11.487,0.1084,0.0713,3.4318,0.0554,0,0,0
Geno Smith,QB,['SEA'],16,12.6327,0.7895,0.021,0.0097,13.2415,0.0342,0.024,-0.6088,-0.0119,0,0,0
Aaron Rodgers,QB,['NYJ'],16,11.8404,0.74,0.0208,0.0096,7.9163,0.0229,0.0144,3.9241,0.1784,0,0,0
Tyrod Taylor,QB,['NYJ'],2,11.21,5.605,0.4484,0.0091,11.8602,0.6977,0.5391,-0.6502,-0.2167,0,0,0
Tanner McKee,QB,['PHI'],1,7.0891,7.0891,1.1815,0.0053,7.2896,2.4299,1.8224,-0.2005,-0.1002,0,0,0
Joshua Dobbs,QB,['SF'],1,5.3681,5.3681,1.0736,0.0043,3.0126,1.0042,0.7532,2.3555,2.3555,0,0,0
Nick Mullens,QB,['MIN'],4,4.798,1.1995,0.9596,0.0037,4.8702,2.4351,2.4351,-0.0722,-0.0241,0,0,0
Marcus Mariota,QB,['WAS'],2,4.6986,2.3493,0.1205,0.0035,6.5712,0.3459,0.2527,-1.8726,-0.144,0,0,0
Michael Penix Jr.,QB,['ATL'],4,3.578,0.8945,0.049,0.0027,5.7291,0.1432,0.0855,-2.1511,-0.3585,0,0,0
Kenny Pickett,QB,['PHI'],5,3.2795,0.6559,0.0643,0.0025,1.9744,0.079,0.047,1.3051,0.145,0,0,0
Dak Prescott,QB,['DAL'],8,0.2364,0.0295,0.0008,0.0002,-4.1374,-0.0224,-0.0145,4.3738,0.3364,0,0,0
Jameis Winston,QB,['CLE'],11,0.2182,0.0198,0.0007,0.0002,-17.3735,-0.096,-0.0587,17.5917,0.7037,0,0,0
Tyson Bagent,QB,['CHI'],4,-0.1432,-0.0358,-0.0179,-0.0001,0.3796,0.1898,0.1898,-0.5227,-0.0871,0,0,0
Davis Mills,QB,['HOU'],3,-0.6692,-0.2231,-0.0478,-0.0005,-0.6692,-0.0836,-0.0478,0.0,0.0,0,0,0
Carson Wentz,QB,['KC'],1,-1.2769,-1.2769,-0.2554,-0.001,2.1171,1.0585,1.0585,-3.394,-1.1313,0,0,0
Mac Jones,QB,['JAX'],9,-2.1619,-0.2402,-0.0085,-0.0018,-1.866,-0.0124,-0.0081,-0.296,-0.0129,0,0,0
Mitchell Trubisky,QB,['BUF'],7,-3.4476,-0.4925,-0.1915,-0.0027,4.8955,1.2239,0.9791,-8.3431,-0.6418,0,0,0
Aidan O'Connell,QB,['LV'],8,-3.5185,-0.4398,-0.0156,-0.0027,6.0741,0.0467,0.0291,-9.5926,-0.5643,0,0,0
Joe Flacco,QB,['IND'],6,-4.9327,-0.8221,-0.0227,-0.0039,1.924,0.0138,0.0092,-6.8567,-0.7619,0,0,0
Josh Johnson,QB,['BAL'],4,-5.1197,-1.2799,-0.7314,-0.004,-1.7024,-0.8512,-0.5675,-3.4173,-0.8543,0,0,0
Trey Lance,QB,['DAL'],3,-5.6196,-1.8732,-0.4683,-0.0042,-5.386,-1.0772,-0.7694,-0.2336,-0.0467,0,0,0
Taylor Heinicke,QB,['LAC'],4,-5.6297,-1.4074,-0.8042,-0.0046,-6.0253,-2.0084,-1.2051,0.3956,0.1978,0,0,0
Hendon Hooker,QB,['DET'],3,-6.035,-2.0117,-0.4311,-0.0046,-2.6214,-0.4369,-0.2913,-3.4136,-0.6827,0,0,0
Kyle Trask,QB,['TB'],3,-6.6957,-2.2319,-1.116,-0.0051,0.2069,0.2069,0.2069,-6.9026,-1.3805,0,0,0
Mason Rudolph,QB,['TEN'],7,-8.3341,-1.1906,-0.0343,-0.0065,-10.8137,-0.0778,-0.0494,2.4796,0.1033,0,0,0
Russell Wilson,QB,['PIT'],10,-8.8497,-0.885,-0.0257,-0.0067,-1.7802,-0.009,-0.0058,-7.0695,-0.1813,0,0,0
Anthony Richardson,QB,['IND'],11,-9.8294,-0.8936,-0.028,-0.0078,-31.9899,-0.2539,-0.1212,23.1595,0.2693,-0.9989982822287438,-0.9989982822287438,-0.9989982822287438
Drake Maye,QB,['NE'],12,-10.5435,-0.8786,-0.027,-0.0083,-30.5648,-0.1358,-0.0907,20.0213,0.3708,0,0,0
Brandon Allen,QB,['SF'],3,-11.374,-3.7913,-0.3447,-0.0092,-10.4151,-0.6127,-0.3472,-0.9589,-0.3196,0,0,0
Tommy DeVito,QB,['NYG'],2,-11.9711,-5.9855,-0.2302,-0.0091,-9.386,-0.3028,-0.2133,-2.5851,-0.3231,0,0,0
Clayton Tune,QB,['ARI'],4,-13.7571,-3.4393,-1.7196,-0.0109,-1.244,-0.622,-0.622,-12.5131,-2.0855,0,0,0
Tim Boyle,QB,['MIA' 'NYG'],3,-14.1698,-4.7233,-0.2674,-0.0054,-14.9566,-0.5539,-0.2991,0.7868,0.2623,0,0,0
Tyler Huntley,QB,['MIA'],4,-14.4155,-3.6039,-0.1254,-0.0111,-12.4228,-0.2037,-0.135,-1.9927,-0.0866,0,0,0
Sam Howell,QB,['SEA'],1,-15.3321,-15.3321,-1.0221,-0.0118,-14.6594,-2.9319,-1.0471,-0.6727,-0.6727,0,0,0
Jake Haener,QB,['NO'],8,-15.9375,-1.9922,-0.3187,-0.0126,-14.2438,-0.7913,-0.3652,-1.6937,-0.154,0,0,0
Skylar Thompson,QB,['MIA'],2,-16.3018,-8.1509,-0.4795,-0.0126,-13.878,-0.6609,-0.4205,-2.4238,-2.4238,0,0,0
Drew Lock,QB,['NYG'],6,-20.7395,-3.4566,-0.1234,-0.0157,-31.8392,-0.3746,-0.2095,11.0997,0.6937,0,0,0
Desmond Ridder,QB,['LV'],4,-23.2907,-5.8227,-0.2532,-0.0177,-24.5819,-0.482,-0.2962,1.2912,0.1435,0,0,0
Daniel Jones,QB,['NYG'],10,-24.395,-2.4395,-0.0598,-0.0185,-33.5359,-0.1553,-0.0983,9.1409,0.1364,0,0,0
Andy Dalton,QB,['CAR'],6,-25.2584,-4.2097,-0.1477,-0.0203,-21.5767,-0.2036,-0.1349,-3.6817,-0.3347,0,0,0
Bryce Young,QB,['CAR'],13,-26.3258,-2.0251,-0.0679,-0.0212,-38.1711,-0.1826,-0.1091,11.8453,0.3117,0,0,0
Caleb Williams,QB,['CHI'],16,-34.8617,-2.1789,-0.0571,-0.0264,-47.201,-0.143,-0.0886,12.3393,0.1582,0,0,0
C.J. Stroud,QB,['HOU'],16,-36.7149,-2.2947,-0.0634,-0.0281,-28.4741,-0.0863,-0.0541,-7.4694,-0.1436,-0.7714276020786005,0,-0.7714276020786005
Jacoby Brissett,QB,['NE'],7,-38.7046,-5.5292,-0.2199,-0.0304,-41.1609,-0.4333,-0.2557,2.4564,0.1638,0,0,0
Cooper Rush,QB,['DAL'],12,-46.2355,-3.853,-0.1384,-0.0342,-27.8143,-0.1487,-0.0903,-18.4212,-0.7085,0,0,0
Gardner Minshew,QB,['LV'],10,-54.102,-5.4102,-0.1665,-0.0412,-46.8143,-0.2306,-0.153,-7.2877,-0.3836,0,0,0
Spencer Rattler,QB,['NO'],6,-57.842,-9.6403,-0.2849,-0.0458,-69.972,-0.6728,-0.3762,12.13,0.7135,0,0,0
