Player,POS,TM,GP,Total EPA,EPA per Game,EPA per Play ( all plays contributed ),EPA per Play ( all offense ),Total Passing EPA,EPA per Completion,EPA per Attempt,Rushing EPA,EPA per Carry,Receiving EPA,EPA per Reception,EPA per Target
Matt Ryan,QB,['ATL'],19,225.7661,11.8824,0.3355,0.1468,237.3574,0.5358,0.3756,-11.5913,-0.2827,0,0,0
Aaron Rodgers,QB,['GB'],19,181.0247,9.5276,0.2227,0.114,160.7243,0.3341,0.2178,20.3004,0.2707,0,0,0
Tom Brady,QB,['NE'],15,161.8227,10.7882,0.2648,0.0981,169.6572,0.4418,0.2956,-7.8345,-0.2117,0,0,0
Dak Prescott,QB,['DAL'],17,140.1708,8.2453,0.2521,0.1016,121.0421,0.3613,0.2435,19.1288,0.3242,0,0,0
Drew Brees,QB,['NO'],16,119.8962,7.4935,0.1723,0.0838,125.5961,0.2667,0.1866,-5.7,-0.2478,0,0,0
Kirk Cousins,QB,['WAS'],16,115.5624,7.2226,0.1806,0.0879,117.5189,0.2895,0.1939,-1.9565,-0.0575,0,0,0
Ben Roethlisberger,QB,['PIT'],17,92.0351,5.4138,0.1463,0.0589,97.2585,0.2481,0.1608,-5.2234,-0.2176,0,0,0
Matthew Stafford,QB,['DET'],17,82.3821,4.846,0.1237,0.0616,59.9451,0.1476,0.0958,22.437,0.5609,0,0,0
Andy Dalton,QB,['CIN'],16,70.614,4.4134,0.116,0.0528,70.8355,0.1946,0.1258,-0.2214,-0.0048,0,0,0
Andrew Luck,QB,['IND'],15,67.5489,4.5033,0.1109,0.0496,61.7132,0.1784,0.1132,5.8357,0.0912,0,0,0
Derek Carr,QB,['LV'],15,63.7203,4.248,0.1064,0.0427,85.0536,0.2382,0.1519,-21.3333,-0.547,0,0,0
Philip Rivers,QB,['LAC'],16,59.7485,3.7343,0.1009,0.0449,63.9488,0.1832,0.1106,-4.2003,-0.3,0,0,0
