Rank,Team,ADJ EPA Per Play
192,IND ( 2014 ),0.074
193,KC ( 2016 ),0.074
194,SEA ( 2018 ),0.073
195,MIN ( 2019 ),0.073
196,NE ( 2013 ),0.072
197,PIT ( 2011 ),0.07
198,PHI ( 2013 ),0.07
199,NO ( 2002 ),0.069
200,GB ( 2015 ),0.069
201,PIT ( 2017 ),0.069
202,NO ( 2019 ),0.069
203,CIN ( 2021 ),0.069
204,GB ( 2021 ),0.069
205,LV ( 2001 ),0.068
206,DEN ( 2003 ),0.068
207,HOU ( 2012 ),0.067
208,ATL ( 2010 ),0.065
209,KC ( 2024 ),0.065
210,LAC ( 2024 ),0.065
211,SF ( 2025 ),0.065
212,MIN ( 1999 ),0.064
213,NYJ ( 2010 ),0.064
214,SEA ( 2016 ),0.064
215,IND ( 2018 ),0.064
216,LA ( 2020 ),0.064
217,BAL ( 2004 ),0.063
218,IND ( 2008 ),0.063
219,DEN ( 2025 ),0.063
220,WAS ( 2005 ),0.062
221,BUF ( 2014 ),0.062
222,DET ( 2025 ),0.062
223,MIA ( 2000 ),0.061
224,SEA ( 2003 ),0.061
225,NO ( 2006 ),0.061
226,MIN ( 2008 ),0.061
227,IND ( 1999 ),0.06
228,GB ( 2016 ),0.059
229,GB ( 2023 ),0.059
230,TB ( 2024 ),0.059
231,MIN ( 2003 ),0.058
232,NYG ( 2007 ),0.058
233,NE ( 2008 ),0.058
234,LAC ( 2013 ),0.058
235,BUF ( 2019 ),0.058
236,MIA ( 2002 ),0.057
237,CAR ( 2008 ),0.057
238,MIN ( 2015 ),0.057
239,PIT ( 2018 ),0.057
240,LV ( 1999 ),0.056
241,PHI ( 2003 ),0.056
242,CIN ( 2005 ),0.055
243,PIT ( 2012 ),0.055
244,ATL ( 2008 ),0.054
245,KC ( 2014 ),0.054
246,IND ( 2021 ),0.054
247,DEN ( 2002 ),0.053
248,DEN ( 2004 ),0.053
249,DEN ( 2016 ),0.053
250,CIN ( 2006 ),0.052
251,NYG ( 2010 ),0.052
252,CAR ( 2017 ),0.052
253,CHI ( 2010 ),0.051
254,PIT ( 2024 ),0.05
255,PHI ( 2007 ),0.049
256,NO ( 2010 ),0.049
257,PHI ( 2011 ),0.049
258,CAR ( 2009 ),0.048
259,LV ( 2010 ),0.048
260,TB ( 2001 ),0.047
261,KC ( 2004 ),0.047
262,SEA ( 2007 ),0.047
263,PIT ( 2016 ),0.047
264,DAL ( 2006 ),0.046
265,SF ( 2009 ),0.046
266,PHI ( 2016 ),0.046
267,HOU ( 2018 ),0.046
268,TEN ( 2020 ),0.046
269,BAL ( 2022 ),0.046
270,WAS ( 2007 ),0.045
271,DEN ( 1999 ),0.044
272,TB ( 1999 ),0.044
273,NE ( 2002 ),0.044
274,NE ( 2005 ),0.044
275,PHI ( 2006 ),0.044
276,IND ( 2010 ),0.044
277,BAL ( 2016 ),0.044
278,GB ( 2019 ),0.044
279,SEA ( 2021 ),0.044
280,MIA ( 2001 ),0.043
281,MIA ( 2020 ),0.043
282,DEN ( 2000 ),0.041
283,NYG ( 2000 ),0.041
284,BAL ( 2017 ),0.041
285,SEA ( 2019 ),0.041
286,PIT ( 2000 ),0.04
287,PHI ( 2009 ),0.04
288,WAS ( 2012 ),0.04
289,CIN ( 2012 ),0.04
290,IND ( 2013 ),0.04
291,SF ( 2021 ),0.04
292,BAL ( 1999 ),0.039
293,GB ( 2002 ),0.039
294,LAC ( 2012 ),0.039
295,PHI ( 2018 ),0.039
296,ARI ( 2020 ),0.039
297,NO ( 2023 ),0.039
298,LAC ( 2001 ),0.038
299,PIT ( 2002 ),0.038
300,ARI ( 2008 ),0.038
301,DAL ( 2017 ),0.038
302,JAX ( 2022 ),0.038
303,DAL ( 2005 ),0.037
304,GB ( 2025 ),0.037
305,NYG ( 2002 ),0.036
306,NYG ( 2011 ),0.036
307,CHI ( 2025 ),0.036
308,ATL ( 2009 ),0.035
309,LAC ( 2011 ),0.035
310,LA ( 2019 ),0.035
311,NYJ ( 2002 ),0.034
312,MIN ( 2012 ),0.034
313,PIT ( 2014 ),0.034
314,PHI ( 2025 ),0.034
315,TB ( 2003 ),0.033
316,KC ( 2017 ),0.033
317,GB ( 2000 ),0.032
318,PIT ( 2006 ),0.032
319,SEA ( 2024 ),0.032
320,MIN ( 2016 ),0.03
321,SEA ( 2017 ),0.03
322,TEN ( 2021 ),0.03
323,TB ( 2023 ),0.03
324,BAL ( 2001 ),0.029
325,PHI ( 2010 ),0.029
326,DET ( 2014 ),0.029
327,HOU ( 2014 ),0.029
328,PIT ( 2013 ),0.028
329,SEA ( 1999 ),0.027
330,GB ( 2008 ),0.027
331,ATL ( 2011 ),0.027
332,LAC ( 2025 ),0.027
333,WAS ( 2000 ),0.026
334,CIN ( 2004 ),0.026
335,CHI ( 2005 ),0.026
336,HOU ( 2009 ),0.026
337,DAL ( 2018 ),0.026
338,HOU ( 2019 ),0.026
339,MIA ( 2022 ),0.026
340,WAS ( 1999 ),0.025
341,NO ( 2000 ),0.025
342,NO ( 2003 ),0.025
343,ARI ( 2016 ),0.025
344,NE ( 2022 ),0.025
345,SF ( 2003 ),0.024
346,JAX ( 2005 ),0.024
347,TB ( 2008 ),0.024
348,ATL ( 2020 ),0.024
349,MIN ( 2025 ),0.023
350,BUF ( 2006 ),0.022
351,NYJ ( 2000 ),0.021
352,CAR ( 2003 ),0.021
353,BUF ( 2015 ),0.021
354,CLE ( 2023 ),0.021
355,NE ( 1999 ),0.02
356,ARI ( 2014 ),0.02
357,MIN ( 2018 ),0.02
358,NO ( 2021 ),0.02
