Team,Vegas Wins
ARI,4.5
ATL,8.5
BAL,9.5
BUF,10.5
CAR,7.5
CHI,7.5
CIN,11.5
CLE,9.5
DAL,9.5
DEN,8.5
DET,9.5
GB,7.5
HOU,6.5
IND,6.5
JAX,10
KC,11.5
LA,6.5
LAC,9.5
LV,7.5
MIA,9.5
MIN,8.5
NE,7.5
NO,9.5
NYG,7.5
NYJ,9.5
PHI,11.5
PIT,9
SEA,9
SF,10.5
TB,6.5
TEN,7.5
WAS,6.5
