spread_line,result,normalized_modeled_prob
-18.0,-21,0.0640182
-18.0,-20,0.0299749
-18.0,-19,0.0103259
-18.0,-18,0.0361393
-18.0,-17,0.0738444
-18.0,-16,0.0345036
-18.0,-15,0.0247701
-18.0,-14,0.0482112
-18.0,-13,0.0226682
-18.0,-12,0.0069882
-18.0,-11,0.0162915
-18.0,-10,0.0326904
-18.0,-9,0.0164749
-18.0,-8,0.0137874
-18.0,-7,0.0255415
-18.0,-6,0.0125499
-18.0,-5,0.0045599
-18.0,-4,0.0097240
-18.0,-3,0.0188219
-18.0,-2,0.0092320
-18.0,-1,0.0030000
-18.0,0,0.0007389
-18.0,1,0.0024598
-18.0,2,0.0063052
-18.0,3,0.0124143
-18.0,4,0.0058942
-18.0,5,0.0018951
-18.0,6,0.0045928
-18.0,7,0.0093433
-18.0,8,0.0044859
-18.0,9,0.0038553
-18.0,10,0.0076206
-18.0,11,0.0034152
-18.0,12,0.0008499
-18.0,13,0.0026875
-18.0,14,0.0058945
-18.0,15,0.0026879
-18.0,16,0.0023276
-18.0,17,0.0049224
-18.0,18,0.0020951
-18.0,19,0.0003803
-18.0,20,0.0016830
-18.0,21,0.0039318
-18.0,22,0.0017319
-18.0,23,0.0015165
-18.0,24,0.0033581
-18.0,25,0.0013886
-18.0,26,0.0001985
-18.0,27,0.0011398
-18.0,28,0.0027527
-18.0,29,0.0011946
-18.0,30,0.0010568
-18.0,31,0.0023885
-18.0,32,0.0009765
-18.0,33,0.0000711
-18.0,34,0.0000049
-18.0,35,0.0000031
-18.0,36,0.0000023
-18.0,37,0.0000018
-18.0,38,0.0000013
-18.0,39,0.0000010
-18.0,40,0.0000007
-18.0,41,0.0000005
-18.0,42,0.0000004
-18.0,43,0.0000003
-18.0,44,0.0000002
-18.0,45,0.0000001
-18.0,46,0.0000001
-18.0,47,0.0000001
-18.0,48,0.0000001
-18.0,49,0.0000000
-18.0,50,0.0000000
-18.0,51,0.0000000
-18.0,52,0.0000000
-18.0,53,0.0000000
-18.0,54,0.0000000
-18.0,55,0.0000000
-18.0,56,0.0000000
-18.0,57,0.0000000
-18.0,58,0.0000000
-18.0,59,0.0000000
-18.0,60,0.0000000
-18.0,61,0.0000000
-18.0,62,0.0000000
-18.0,63,0.0000000
-18.0,64,0.0000000
-18.0,65,0.0000000
-18.0,66,0.0000000
-18.0,67,0.0000000
-18.0,68,0.0000000
-18.0,69,0.0000000
-18.0,70,0.0000000
-18.0,71,0.0000000
-18.0,72,0.0000000
-18.0,73,0.0000000
-18.0,74,0.0000000
-16.0,-75,0.0000006
-16.0,-74,0.0000008
-16.0,-73,0.0000010
-16.0,-72,0.0000014
-16.0,-71,0.0000019
-16.0,-70,0.0000025
-16.0,-69,0.0000033
-16.0,-68,0.0000044
-16.0,-67,0.0000058
-16.0,-66,0.0000076
-16.0,-65,0.0000098
-16.0,-64,0.0000127
-16.0,-63,0.0000164
-16.0,-62,0.0000210
-16.0,-61,0.0000268
-16.0,-60,0.0000339
-16.0,-59,0.0000428
-16.0,-58,0.0000537
-16.0,-57,0.0000670
-16.0,-56,0.0000831
-16.0,-55,0.0001025
-16.0,-54,0.0001259
-16.0,-53,0.0001537
-16.0,-52,0.0001867
-16.0,-51,0.0002256
-16.0,-50,0.0002711
-16.0,-49,0.0003241
-16.0,-48,0.0003854
-16.0,-47,0.0004558
-16.0,-46,0.0005386
