Team,Vegas Wins
ARI,8.5
ATL,8.0
BAL,11.5
BUF,12.5
CAR,6.5
CHI,8.0
CIN,9.5
CLE,5.0
DAL,7.5
DEN,9.5
DET,10.0
GB,10.5
HOU,9.5
IND,7.5
JAX,7.5
KC,11.5
LV,6.5
LAC,9.5
LA,9.5
MIA,7.5
MIN,9.5
NE,8.5
NO,4.5
NYG,5.5
NYJ,6.0
PHI,11.5
PIT,8.5
SF,10.5
SEA,8.5
TB,9.5
TEN,6.0
WAS,9.5
