Rank,Team,ADJ EPA Per Play
193,ATL ( 2018 ),0.057
194,DAL ( 2022 ),0.057
195,PIT ( 2006 ),0.056
196,CAR ( 2011 ),0.056
197,DEN ( 2012 ),0.056
198,BUF ( 2015 ),0.056
199,SEA ( 2023 ),0.055
200,MIA ( 2002 ),0.054
201,PIT ( 2004 ),0.054
202,ARI ( 2008 ),0.054
203,DAL ( 2009 ),0.054
204,BAL ( 2012 ),0.054
205,LV ( 2019 ),0.054
206,MIA ( 2022 ),0.054
207,NYG ( 2005 ),0.053
208,NO ( 2012 ),0.053
209,TB ( 2020 ),0.053
210,HOU ( 2023 ),0.053
211,GB ( 2024 ),0.053
212,WAS ( 2012 ),0.052
213,LA ( 2021 ),0.052
214,SEA ( 2013 ),0.051
215,IND ( 2013 ),0.051
216,PIT ( 2018 ),0.051
217,IND ( 2018 ),0.051
218,PHI ( 2000 ),0.05
219,LAC ( 2001 ),0.05
220,HOU ( 2007 ),0.05
221,PIT ( 2009 ),0.05
222,TB ( 2010 ),0.05
223,SF ( 2021 ),0.05
224,LAC ( 2021 ),0.05
225,ATL ( 2008 ),0.049
226,MIN ( 2017 ),0.049
227,LAC ( 2019 ),0.049
228,IND ( 2021 ),0.049
229,KC ( 2024 ),0.049
230,GB ( 2001 ),0.048
231,WAS ( 2006 ),0.048
232,PIT ( 2010 ),0.048
233,ATL ( 2012 ),0.048
234,GB ( 2015 ),0.048
235,PHI ( 2018 ),0.048
236,PHI ( 2021 ),0.048
237,GB ( 2018 ),0.047
238,SEA ( 2022 ),0.047
239,BAL ( 2009 ),0.046
240,CIN ( 2016 ),0.046
241,DET ( 2016 ),0.046
242,SEA ( 2021 ),0.046
243,PIT ( 2002 ),0.045
244,GB ( 2017 ),0.045
245,JAX ( 2017 ),0.045
246,LA ( 2003 ),0.044
247,NYG ( 2015 ),0.044
248,TEN ( 2001 ),0.043
249,LAC ( 2007 ),0.043
250,ATL ( 2009 ),0.043
251,SF ( 2017 ),0.043
252,SEA ( 2017 ),0.043
253,KC ( 1999 ),0.042
254,PHI ( 2004 ),0.042
255,GB ( 2008 ),0.042
256,ATL ( 2014 ),0.042
257,TB ( 2017 ),0.042
258,ARI ( 2021 ),0.042
259,PHI ( 2024 ),0.042
260,HOU ( 2008 ),0.041
261,PHI ( 2010 ),0.041
262,NO ( 2013 ),0.041
263,CAR ( 2013 ),0.041
264,SEA ( 2019 ),0.041
265,TB ( 2023 ),0.041
266,NYG ( 2002 ),0.04
267,CAR ( 2017 ),0.04
268,CAR ( 2018 ),0.04
269,IND ( 2001 ),0.039
270,KC ( 2001 ),0.039
271,SEA ( 2002 ),0.039
272,MIN ( 2002 ),0.039
273,SF ( 2003 ),0.039
274,PHI ( 2014 ),0.039
275,MIN ( 2015 ),0.039
276,BUF ( 1999 ),0.038
277,NYG ( 2000 ),0.038
278,CLE ( 2022 ),0.038
279,NYJ ( 2015 ),0.037
280,TEN ( 2000 ),0.036
281,PHI ( 2007 ),0.036
282,BAL ( 2010 ),0.036
283,PHI ( 2011 ),0.036
284,HOU ( 2018 ),0.036
285,BAL ( 2022 ),0.036
286,NE ( 2000 ),0.035
287,HOU ( 2009 ),0.035
288,JAX ( 2023 ),0.035
289,NYJ ( 1999 ),0.034
290,JAX ( 2006 ),0.034
291,CLE ( 2007 ),0.034
292,CIN ( 2007 ),0.034
293,NYJ ( 2010 ),0.034
294,BAL ( 2011 ),0.034
295,CHI ( 2013 ),0.034
296,NE ( 2003 ),0.033
297,MIA ( 2005 ),0.033
298,NYG ( 2007 ),0.033
299,PHI ( 2009 ),0.033
300,NO ( 2000 ),0.032
301,PIT ( 2001 ),0.032
302,KC ( 2016 ),0.032
303,MIN ( 2019 ),0.032
304,IND ( 2023 ),0.032
305,ARI ( 2024 ),0.032
306,KC ( 2000 ),0.031
307,ATL ( 2005 ),0.031
308,DEN ( 2007 ),0.031
309,NO ( 2010 ),0.031
310,LV ( 2011 ),0.031
311,DEN ( 2023 ),0.031
312,SF ( 2002 ),0.03
313,DEN ( 2003 ),0.03
314,NO ( 2007 ),0.03
315,ARI ( 2019 ),0.03
316,SEA ( 1999 ),0.029
317,TEN ( 2002 ),0.029
318,WAS ( 2005 ),0.029
319,DAL ( 2011 ),0.029
320,GB ( 2013 ),0.029
321,PHI ( 2019 ),0.029
322,BAL ( 2021 ),0.029
323,MIA ( 2008 ),0.028
324,DAL ( 2008 ),0.028
325,SEA ( 2016 ),0.028
326,CIN ( 2021 ),0.028
327,TEN ( 2023 ),0.028
328,CLE ( 2002 ),0.027
329,CHI ( 2006 ),0.027
330,LV ( 2020 ),0.027
331,LV ( 2022 ),0.027
332,ATL ( 2022 ),0.027
333,TB ( 2001 ),0.026
334,JAX ( 2010 ),0.026
335,HOU ( 2011 ),0.026
336,LAC ( 2014 ),0.026
337,ATL ( 2019 ),0.026
338,NYJ ( 2003 ),0.025
339,TEN ( 2009 ),0.025
340,LV ( 2015 ),0.025
341,BUF ( 2016 ),0.025
342,LA ( 2004 ),0.024
343,SEA ( 2007 ),0.024
344,ATL ( 2013 ),0.024
345,DAL ( 2013 ),0.024
346,TEN ( 2016 ),0.024
347,CLE ( 2020 ),0.023
348,PHI ( 2001 ),0.022
349,LAC ( 2002 ),0.022
350,WAS ( 2003 ),0.022
351,BUF ( 2006 ),0.022
352,BAL ( 2017 ),0.022
353,SEA ( 2004 ),0.021
354,CAR ( 2003 ),0.02
355,TEN ( 2006 ),0.02
356,WAS ( 2015 ),0.02
357,MIA ( 2001 ),0.019
358,CHI ( 2015 ),0.019
359,TEN ( 2017 ),0.019
360,CHI ( 2018 ),0.019
361,NE ( 2019 ),0.019
362,BAL ( 2020 ),0.019
363,PIT ( 2022 ),0.019
364,LAC ( 2023 ),0.019
365,SEA ( 2000 ),0.018
366,PIT ( 2013 ),0.018
367,MIA ( 2014 ),0.018
368,TEN ( 2018 ),0.018
369,TEN ( 2021 ),0.018
370,NE ( 2002 ),0.017
371,CIN ( 2011 ),0.017
372,HOU ( 2012 ),0.017
373,LV ( 2017 ),0.017
374,TB ( 2018 ),0.017
375,WAS ( 2000 ),0.016
376,DEN ( 2002 ),0.016
377,KC ( 2013 ),0.016
378,GB ( 2022 ),0.016
379,DAL ( 1999 ),0.015
380,SEA ( 2006 ),0.015
381,LV ( 2021 ),0.015
382,NO ( 2003 ),0.014
383,CAR ( 2004 ),0.014
384,BAL ( 2006 ),0.014
385,JAX ( 2009 ),0.014
386,DET ( 2011 ),0.014
387,CIN ( 2014 ),0.014
388,NYJ ( 2001 ),0.013
389,NO ( 2002 ),0.013
390,NYG ( 2006 ),0.013
391,ARI ( 2009 ),0.013
392,NYG ( 2014 ),0.013
393,LAC ( 2015 ),0.013
394,NO ( 2023 ),0.013
395,NYG ( 1999 ),0.012
396,BUF ( 2002 ),0.012
397,BUF ( 2019 ),0.012
398,MIN ( 2021 ),0.012
399,NE ( 2001 ),0.011
400,IND ( 2002 ),0.011
401,PHI ( 2016 ),0.011
402,MIN ( 2022 ),0.011
403,ARI ( 2023 ),0.011
404,SF ( 1999 ),0.01
405,LAC ( 2003 ),0.01
406,LV ( 2004 ),0.01
407,DEN ( 2010 ),0.01
408,DET ( 2015 ),0.01
409,LA ( 2019 ),0.01
410,CAR ( 2008 ),0.009
411,TEN ( 2008 ),0.009
412,PIT ( 2012 ),0.009
413,LAC ( 2022 ),0.009
414,DET ( 1999 ),0.008
415,PIT ( 1999 ),0.008
416,DAL ( 2000 ),0.008
417,TB ( 2000 ),0.008
418,DAL ( 2005 ),0.008
419,MIN ( 2023 ),0.008
420,BAL ( 2000 ),0.007
421,DEN ( 2006 ),0.007
422,TEN ( 2011 ),0.007
423,CAR ( 2012 ),0.007
424,SF ( 2014 ),0.007
425,PHI ( 2015 ),0.007
426,TB ( 2007 ),0.006
427,JAX ( 2008 ),0.006
428,DAL ( 2010 ),0.006
429,DAL ( 2012 ),0.006
430,DET ( 2017 ),0.006
431,ARI ( 2020 ),0.006
432,PIT ( 2000 ),0.005
433,MIN ( 2007 ),0.005
434,DET ( 2010 ),0.005
435,HOU ( 2017 ),0.005
436,CLE ( 2019 ),0.005
437,ARI ( 2001 ),0.004
438,JAX ( 2003 ),0.004
439,LV ( 2016 ),0.004
440,NO ( 2020 ),0.004
441,DEN ( 2021 ),0.004
442,NYJ ( 2000 ),0.003
443,CIN ( 2010 ),0.003
444,ATL ( 2011 ),0.003
445,TEN ( 2013 ),0.003
446,LAC ( 2016 ),0.003
447,MIN ( 2014 ),0.002
448,CIN ( 2018 ),0.002
449,NE ( 1999 ),0.001
450,CAR ( 2006 ),0.001
451,MIA ( 2007 ),0.001
452,BAL ( 2015 ),0.001
453,ATL ( 2015 ),0.001
454,LAC ( 1999 ),-0.0
455,SEA ( 2001 ),-0.001
456,TB ( 2002 ),-0.001
457,DET ( 2007 ),-0.001
458,WAS ( 2007 ),-0.001
459,BUF ( 2011 ),-0.001
460,DEN ( 2004 ),-0.002
461,DET ( 2006 ),-0.002
462,DET ( 2018 ),-0.002
463,DEN ( 2024 ),-0.002
464,GB ( 2002 ),-0.003
465,DAL ( 2004 ),-0.003
466,LAC ( 2012 ),-0.003
467,DET ( 2019 ),-0.003
468,JAX ( 2024 ),-0.003
469,LAC ( 2024 ),-0.003
470,NYG ( 2001 ),-0.004
471,PHI ( 2002 ),-0.004
472,KC ( 2010 ),-0.004
473,MIN ( 2012 ),-0.004
474,SF ( 2024 ),-0.004
475,CIN ( 2004 ),-0.005
476,LV ( 2005 ),-0.005
