Team,Vegas Wins
ARI,8
ATL,7
BAL,11
BUF,10.5
CAR,7.5
CHI,7
CIN,6.5
CLE,9.5
DAL,9.5
DEN,7.5
DET,5
GB,10.5
HOU,4.5
IND,10
JAX,6.5
KC,12
LA,10.5
LAC,9
LV,7.5
MIA,9
MIN,8.5
NE,9
NO,9
NYG,7
NYJ,6.5
PHI,6.5
PIT,8.5
SEA,9.5
SF,10.5
TB,11.5
TEN,9.5
WAS,8
