QB Name,GP,Total Adj EPA,Adj EPA Per Touch,Adj EPA Per Play
B.Purdy,13,153.18591145579703,0.3978854843007715,0.15364685201183254
J.Allen,13,143.53387760467373,0.28880055856071174,0.1340185598549708
D.Prescott,13,130.38277560696864,0.2705036838318851,0.11810034022370347
T.Tagovailoa,13,94.08292504238725,0.20587073313432658,0.09020414673287368
P.Mahomes,13,93.28936750060764,0.18473142079328245,0.08884701666724537
J.Hurts,13,86.93372435678671,0.18735716456204032,0.08034540143880473
K.Cousins,8,47.75742827661241,0.14560191547747686,0.07544617421265783
J.Browning,5,23.513857969652697,0.21183655828515943,0.061554602014797635
J.Love,13,61.71250448696423,0.1296481186700929,0.05962560819996544
C.Stroud,13,58.77099200313942,0.12193151867871249,0.055184030049896166
A.Richardson,4,17.507916228943955,0.18825716375208554,0.055056340342591055
J.Herbert,13,54.43393980358226,0.1120039913653956,0.051498523939056066
L.Jackson,13,53.609526979032196,0.13107463809054326,0.04986932742235553
M.Stafford,12,45.244682101581404,0.10167344292490203,0.04488559732299743
T.Heinicke,3,10.249775527408094,0.12974399401782397,0.03957442288574554
B.Mayfield,13,36.64672566366109,0.07813800781164411,0.03506863699871875
J.Goff,13,36.18008060797969,0.07323902957080909,0.033131941948699346
T.Lawrence,13,33.40098746694933,0.0692966544957455,0.030009871937959866
G.Smith,12,19.099815772536168,0.04441817621520039,0.02002077125003791
J.Burrow,10,13.49474844660373,0.03469087004268311,0.016910712339102418
R.Wilson,13,13.783375373510141,0.0330536579700483,0.01359307236046365
D.Watson,6,4.984944529302715,0.026099186017291703,0.009047086260077523
J.Fields,9,6.5016176917535295,0.022496947030289028,0.008955396269632961
W.Levis,7,4.041556580059069,0.016563756475651923,0.006992312422247525
D.Carr,13,6.539812787186392,0.014663257370373077,0.005918382612838364
G.Minshew,12,5.876742517791249,0.01458248763719913,0.00572224198421738
S.Howell,13,5.385725488406546,0.009448641207730783,0.004909503635739787
T.Taylor,6,-4.346274671926916,-0.04480695538068986,-0.004399063433124409
J.Garoppolo,6,-5.29535578021877,-0.029095361429773463,-0.012145311422520115
D.Ridder,12,-18.53031867403297,-0.05035412683161133,-0.018401508117212483
J.Dobbs,13,-51.276777657785956,-0.11344419835793353,-0.025434909552473194
M.Trubisky,4,-8.723545324759725,-0.09801736319954747,-0.02787075183629305
K.Murray,4,-10.002753750967692,-0.06946356771505341,-0.031161226638528636
J.Flacco,2,-5.854573800039841,-0.06363667173956349,-0.03147620322602065
T.Bagent,5,-15.13707359929813,-0.10159109798186665,-0.036829862772014915
K.Pickett,12,-40.99044680902283,-0.11778864025581272,-0.04436195542102038
T.DeVito,6,-22.86307851536829,-0.1484615488010928,-0.04959453040210041
A.O'Connell,7,-28.572689425640213,-0.12531881327035183,-0.053910734765358896
B.Zappe,6,-26.212823783744227,-0.25953290874994284,-0.05735847655086264
R.Tannehill,6,-26.894068608849196,-0.15194389044547568,-0.05963208117261463
M.Jones,11,-52.86650467172,-0.14326966035696478,-0.060281077162736604
D.Thompson-Robinson,5,-33.219575672580156,-0.2888658754137405,-0.0734946364437614
P.Walker,5,-38.80649651702717,-0.31808603702481286,-0.08436194895005907
B.Young,12,-93.31727542685351,-0.19982285958641008,-0.09211971907882874
T.Boyle,3,-23.375024162869238,-0.27180260654499117,-0.10032199211531861
Z.Wilson,11,-89.30748706058132,-0.22215792801139633,-0.10312642847642185
D.Jones,6,-51.71262445210365,-0.2707467248801238,-0.10618608717064404
