Name,GP,Total Adj EPA,Adj EPA Per Rush,Adj EPA Per Reception,Adj EPA Per Touch,Adj EPA Per Play
C.Kupp,1,16.157404786670277,0.0,1.8417415512653084,1.8417415512653084,0.20196755983337847
D.Swift,1,12.599557359398325,0.38143930387911346,2.292655933737208,0.6999754088554625,0.15555009085676944
C.Edwards-Helaire,1,11.201206106607824,0.14554537746363586,3.3941294881207913,1.1201206106607824,0.13828649514330646
J.Jefferson,1,9.713499796691512,0.0,1.9097028839059438,1.9097028839059438,0.1278092078512041
A.Jones,1,8.562013403985492,0.7421676937967199,1.710424165835513,1.1052638708112674,0.12779124483560436
A.Brown,1,11.320075907136001,0.0,1.6873945309568854,1.6873945309568854,0.12042633943761703
S.Diggs,1,7.635926947465972,0.0,1.2919183506588054,1.2919183506588054,0.11747579919178418
A.Dillon,1,7.358890236612925,-0.06924571073505809,1.419264373486308,0.4269243173387306,0.10983418263601381
D.Schultz,1,7.326795774473023,0.0,1.1574473244521781,1.1574473244521781,0.08935116798137833
T.Kelce,1,6.922572284390083,0.0,0.973506912247903,0.973506912247903,0.08546385536284053
D.Singletary,1,5.011841928795117,0.19752956066172625,1.7158027217506535,0.5011841928795117,0.0771052604430018
M.Pittman,1,7.906457944495154,0.0,1.4300409595006538,1.4300409595006538,0.07602363408168417
A.Ekeler,1,5.78495839886549,-0.20053755925510575,2.1481210571092424,0.32138657771474943,0.07322732150462645
R.Penny,1,4.101308659484133,0.019338693382933453,1.9964099379827662,0.30177744261148104,0.06408294780443957
K.Hunt,1,6.062380062159641,0.11738444833237828,1.19278778262587,0.4041586708106427,0.06381452697010148
N.Chubb,1,6.009140153241125,0.2640795103347531,0.19939092587655693,0.26126696318439674,0.06325410687622236
G.Dortch,1,4.563221116434,0.0,1.256891107270769,1.256891107270769,0.06166515022208108
E.Elliott,1,5.050875966136164,0.42202193007220146,0.19785099408568182,0.401642754073427,0.0615960483675142
C.Samuel,1,4.98627024954696,-0.8342804029797671,1.3055267093495808,0.5922576719064648,0.06007554517526458
J.Williams,1,4.584568941292996,-0.36538241212342576,0.796029438500393,0.3443692743689079,0.057307111766162454
Mi.Carter,1,5.238314484470388,-0.2097594714064583,0.9959397277577947,0.2867049047199989,0.05514015246810935
J.Robinson,1,3.9892087798443057,0.20139377954117818,1.3188221483291378,0.2945128102735081,0.04986510974805382
K.Herbert,1,3.198302329712468,0.3879098448482679,-0.2928862739219432,0.3198302329712468,0.0450465116860911
R.Burkhead,1,3.773264762159029,-0.00266712504576444,0.7369613577426893,0.1919719493722497,0.04387517165301196
C.Edmonds,1,3.1689459341755857,-0.2494657412221982,1.540633707210491,0.1980591208859741,0.043410218276377886
A.Gibson,1,3.3938074265437734,0.10516692482616616,0.9737876258672541,0.3947071585065288,0.04088924610293703
C.McCaffrey,1,2.623479582919095,-0.15683113715195018,1.0899355786174953,0.19938792449646284,0.04036122435260146
J.Landry,1,2.7441125765862,0.0,0.7226177381064413,0.7226177381064413,0.03920160823694571
L.Fournette,1,2.693054997521098,0.03894325137943534,0.9376233592764778,0.1170893477183086,0.03590739996694797
S.Barkley,1,2.449157473493464,0.156427372829191,1.1608614484146738,0.39749155096970684,0.03401607602074255
D.Henderson,1,2.6253152860947515,-0.13434635665804356,0.8743635845298636,0.1458508492274862,0.032816441076184394
T.Hill,1,4.638315884641542,1.3733388276967464,0.7098968501804761,0.9468404135791441,0.032435775417073716
D.Harris,1,1.9128004119669377,0.01489515779798669,0.7063223797050544,0.14060919814472628,0.030361911301062503
K.Gainwell,1,2.144575401964702,-0.14395661477660227,0.9583154680170314,0.17097826602157878,0.022814631935794704
M.Sanders,1,2.1115780920044687,0.0157521870764743,0.9533998300051515,0.1407718728002979,0.022463596723451794
K.Drake,1,1.4655617940200467,-0.054210478087731495,2.061877052985093,0.12213014950167056,0.021874056627164875
N.Hines,1,2.209486402128629,-1.6842669062155062,1.2103811867958578,0.24549848912540315,0.021245061558929128
D.Pierce,1,1.7818376854023825,0.11401012986925857,0.5277262568405383,0.14848647378353189,0.020719042853516077
M.Gordon,1,1.627849412546099,0.025244125077839796,0.6624599558060107,0.11627495803900707,0.020348117656826238
C.Patterson,1,1.676574948378014,0.08761430532773128,0.6168593119944867,0.15112370612774192,0.018628610537533487
A.St. Brown,1,1.2841259135352114,0.0,1.094564619892818,1.094564619892818,0.01585340633994088
R.Stevenson,1,0.4979507868162656,-0.10950009956690729,0.686975791675762,0.04979507868162656,0.007903980743115328
D.Henry,1,0.2843907946898068,0.015855284236257344,0.0,0.015855284236257344,0.0034681804230464247
Br.Hall,1,0.22438316614863107,-0.3081605834887181,0.2293331091352536,-0.039413737176732265,0.0023619280647224324
I.Pacheco,1,0.06841647500269948,0.005701372916891624,0.0,0.005701372916891624,0.0008446478395394998
D.Cook,1,-0.24923672918804307,-0.1165657734366347,0.9052960559783746,0.01672055213923607,-0.003279430647211093
J.Mixon,1,-0.3787477278559237,-0.2825072305137496,1.0598557592792706,-0.006138379674010143,-0.0034747497968433366
C.Kirk,1,-0.39315607840382516,0.0,1.537934061649515,1.537934061649515,-0.0049144509800478145
C.Davis,1,-0.6331821303056007,0.0,1.3816652955140263,1.3816652955140263,-0.006665075055848428
N.Harris,1,-0.6476968632860398,-0.3120189338410048,1.2362462375620042,-0.05397473860716998,-0.008303805939564613
K.Philips,1,-0.8353165103008668,0.0,0.5115835309539285,0.5115835309539285,-0.010186786710986181
T.Higbee,1,-0.9743330177943952,0.0,1.600106067226524,1.600106067226524,-0.012179162722429939
J.Chase,1,-2.099100672128475,0.0,1.8687231981556238,1.8687231981556238,-0.0192578043314539
J.Conner,1,-1.5862078040609862,-0.40616563393021876,1.5156682053723312,0.2344456458372979,-0.021435240595418733
J.Wilson,1,-2.014450692575059,-0.29917609008966606,0.33906705911596763,-0.1831318811431872,-0.024869761636729125
C.Claypool,1,-2.189890439720091,0.15932376878124893,0.08725684248361529,0.13049699826219546,-0.028075518457949887
N.Brown,1,-2.360992627692907,0.0,1.855310322770173,1.855310322770173,-0.028792593020645206
D.Samuel,1,-2.549440946005147,-0.4483530923914302,1.1873842885377768,-0.12120561620558878,-0.031474579580310455
P.Freiermuth,1,-3.4505938371505747,0.0,0.8042775203256983,0.8042775203256983,-0.04423838252757147
J.Taylor,1,-4.612767404207811,-0.10184770370772267,0.6302739944990253,-0.018176652484094332,-0.04435353273276742
B.Cooks,1,-4.684849988888128,0.0,0.8662122930597735,0.8662122930597735,-0.054474999870792185
Z.Moss,1,-3.6539872151501065,-0.8865076008335387,0.27750973164185433,-0.3044989345958422,-0.056215187925386254
Ja.Williams,1,-4.658367122296998,-0.4090523144351717,0.1432317193069782,-0.36302864495665915,-0.05751070521354318
A.Kamara,1,-4.828103191531493,-0.4508355826536129,0.37925546726866005,-0.24331282017304467,-0.06897290273616419
D.Peoples-Jones,1,-7.565859034619587,0.0,0.7134880917264695,0.7134880917264695,-0.07964062141704828
D.Johnson,1,-7.181028247011275,0.0,0.3625644809540779,0.3625644809540779,-0.09206446470527276
Z.Jones,1,-7.466711727714684,0.0,0.8631503546061268,0.8631503546061268,-0.09333389659643355
C.Lamb,1,-7.880054337468476,0.0,2.2466210181776165,2.2466210181776165,-0.09609822362766433
D.Montgomery,1,-7.368529749780495,-0.7246189661863931,1.6533821552816352,-0.3679187979661888,-0.10378210915183796
D.Adams,1,,0.0,,,
J.Jacobs,1,,,,,
