QB Name,GP,Total Adj EPA,Adj EPA Per Touch,Adj EPA Per Play
B.Purdy,16,166.49345066633768,0.3527403615812239,0.134921759048896
J.Allen,18,173.72842869680417,0.27187547526886413,0.11786189192456185
D.Prescott,18,167.82397798296284,0.24078045621658944,0.10983244632392856
J.Love,18,113.13317775433809,0.17872539929595274,0.07972739799460049
K.Cousins,8,44.03055058011055,0.1342394834759468,0.06955853172213357
P.Mahomes,17,94.37580126760498,0.1419184981467744,0.06848751906212264
M.Stafford,16,85.57527646126154,0.1445528318602391,0.06443921420275718
J.Hurts,18,92.45083055200426,0.15057138526385058,0.06255130619215445
C.Stroud,16,79.75104662426456,0.1414025649366393,0.06250082023845185
L.Jackson,16,82.12325948565017,0.1659055747184852,0.06230899809229906
T.Tagovailoa,18,74.32725027640018,0.11760640866519016,0.052159473878175565
J.Goff,18,76.93121815162462,0.11482271365914122,0.05139025928632239
B.Mayfield,18,69.46811867439796,0.10687402872984302,0.04834246254307443
T.Heinicke,5,18.087214583178252,0.12560565682762675,0.043583649598019886
N.Mullens,5,16.60514596868199,0.10378216230426245,0.041721472283120585
J.Herbert,13,41.99952160349895,0.08641876873147931,0.03973464673935567
G.Smith,15,44.93212771257487,0.08445888667777231,0.038601484289153665
J.Browning,9,22.99958164131948,0.08581933448253537,0.03221229921753429
M.Rudolph,5,8.951197113812581,0.0745933092817715,0.02301078949566216
D.Carr,17,32.557237085972304,0.05603655264367006,0.022879295211505484
R.Wilson,15,10.804515376730219,0.02182730379137418,0.009171914581265041
T.Lawrence,16,6.424922755446194,0.010672629161870754,0.004762729989211412
J.Burrow,10,2.009771378458842,0.005166507399637125,0.0025185104993218567
T.Taylor,10,2.9521002157591227,0.014909597049288499,0.0017967743248686078
J.Fields,13,1.0458543772708424,0.002514073022285679,0.0009922717051905525
D.Watson,6,-0.47958759091100944,-0.002510929795345599,-0.0008703949018348629
K.Murray,8,-1.5867414986418353,-0.005434046228225463,-0.0023968904813320775
G.Minshew,16,-3.2803311313114105,-0.006224537251065295,-0.0024370959370812856
W.Levis,9,-11.70037536815879,-0.04119850481746053,-0.016138448783667297
J.Flacco,6,-11.624512829780386,-0.04419966855429804,-0.02209983427714902
A.O'Connell,11,-20.35082591170766,-0.055301157368770816,-0.02377432933610708
J.Garoppolo,7,-12.584235163830282,-0.0683925824121211,-0.024435408085107344
D.Ridder,15,-33.13068025489035,-0.0785087209831525,-0.027067549227851595
J.Dobbs,13,-58.5466267860145,-0.1295279353672887,-0.029040985508935763
M.Trubisky,5,-12.095805956422154,-0.10518092136019265,-0.03141767780888871
T.Bagent,5,-16.77269000597212,-0.1125683893018263,-0.040809464734725354
S.Howell,17,-57.53562999037601,-0.08461122057408237,-0.041813684586029076
R.Tannehill,9,-28.20373997416055,-0.10764786249679599,-0.04209513428979186
K.Pickett,12,-46.768319038073486,-0.1343917213737744,-0.05061506389401892
D.Thompson-Robinson,7,-36.27376431426146,-0.3022813692855122,-0.05730452498303549
E.Stick,5,-26.09012311914302,-0.13877725063373947,-0.06110099091134197
M.Jones,11,-56.21853085070481,-0.15235374214283146,-0.06410322787993707
T.DeVito,9,-46.61224480007357,-0.21680113860499334,-0.06687553055964644
P.Walker,5,-39.709069395887084,-0.3254841753761236,-0.08632406390410235
B.Young,16,-118.18307952724683,-0.19997136975845486,-0.09049240392591641
B.Zappe,10,-78.01393180279405,-0.3291727080286669,-0.10499856231869993
D.Jones,6,-51.70343810768961,-0.27069862883607126,-0.1061672240404304
Z.Wilson,12,-110.24238300308029,-0.2643702230289695,-0.117404028757274
T.Siemian,5,-53.33897658107039,-0.3312979911867726,-0.11986286872150649
