QB Name,Total Adj EPA,Adj EPA Per Touch,Adj EPA Per Play
A.Rodgers,174.31846153588336,0.2590170305139426,0.11898871094599546
T.Romo,143.719027079074,0.2598897415534792,0.10467518359728624
B.Roethlisberger,114.37646527638225,0.15582624697054803,0.07828642387158265
T.Brady,109.77653504918852,0.14874869247857522,0.06992135990394173
D.Brees,92.69927113031218,0.12928768637421503,0.06697924214617933
J.Flacco,79.75632072757145,0.1144280067827424,0.053925842276924575
C.Palmer,27.632011957496132,0.11371198336418162,0.052732847247130024
A.Smith,65.26722269720126,0.11156790204649789,0.05208876512146948
R.Fitzpatrick,50.357316960380295,0.1314812453273637,0.050917408453367334
M.Ryan,67.32973205406749,0.09757932181748911,0.05024606869706529
P.Rivers,54.031974905722585,0.08403106517219687,0.04090232771061513
E.Manning,56.941143615427194,0.0888317373095588,0.040585276988900354
A.Luck,66.71841088642068,0.0794266796266913,0.039903355793313805
R.Wilson,56.46812500797228,0.08207576309298296,0.038703307065094096
P.Manning,57.46488332952309,0.08328243960800448,0.038567035791626236
T.Bridgewater,16.424888650825,0.03338392002200203,0.016150332989995082
M.Sanchez,11.429097494131778,0.031227042333693382,0.014092598636414029
M.Stafford,14.54546556860758,0.019656034552172408,0.01036001821125896
K.Cousins,4.087892175930195,0.01866617431931596,0.008078838292352165
R.Tannehill,4.479770789456436,0.006473657210197162,0.0032988002867867716
D.Stanton,-3.3621771323256264,-0.012094162346495059,-0.004742139819923309
C.Newton,-8.89620734741812,-0.013082657863850176,-0.0065078327340293484
N.Foles,-4.987619615608955,-0.014844105998836177,-0.006712812403242201
A.Dalton,-12.789850047104675,-0.021105363114034117,-0.009096621655124235
M.Glennon,-4.8176213838035125,-0.021037647964207477,-0.009791913381714456
K.Orton,-10.173196068024284,-0.02046920738033055,-0.010163033034989295
C.McCoy,-4.279419028788967,-0.026580242414838303,-0.010189092925688016
C.Whitehurst,-6.516889274936384,-0.02922371872168782,-0.012226809146222109
C.Kaepernick,-16.81043038519296,-0.026514874424594572,-0.012812828037494632
B.Hoyer,-15.306135412680128,-0.03136503158336092,-0.01293840694224863
J.Cutler,-24.73889337548193,-0.03829550058124138,-0.019934644138180444
G.Smith,-40.070172784145946,-0.08710907126988249,-0.03364414171632741
J.McCown,-29.503995630152037,-0.0760412258509073,-0.03546153320931735
J.Locker,-30.107705129009922,-0.16542695125829626,-0.05254398800874332
S.Hill,-34.380448063264794,-0.13377606250297586,-0.05439944313807721
R.Griffin,-47.67107987835759,-0.1661013236179707,-0.06468260499098723
E.Manuel,-21.17316220634604,-0.138386681087229,-0.06616613189483136
Z.Mettenberger,-36.12653631606096,-0.17884423918842057,-0.07014861420594361
A.Davis,-51.208863640912455,-0.15565004146174,-0.0708283037910269
M.Vick,-58.18324219439605,-0.34632882258569075,-0.07526939481810614
D.Carr,-99.92881149565731,-0.15326504830622287,-0.07576103979958856
B.Bortles,-112.81936756101018,-0.18993159522055586,-0.09931282355722727
R.Lindley,-39.545599684494725,-0.3018748067518681,-0.12396739713007751
