Team,Spread
Giants,5.5
Cowboys,-5.5
Saints,2.5
Falcons,-2.5
Steelers,-2.5
Colts,2.5
Jaguars,5.5
Texans,-5.5
Vikings,2.5
Packers,-2.5
Bengals,-4.5
Panthers,4.5
Rams,3.0
Bears,-3.0
Broncos,8.0
Jets,-8.0
Eagles,-1.0
Buccaneers,1.0
Commanders,3.5
Cardinals,-3.5
Patriots,10.5
49ers,-10.5
Browns,-2.5
Raiders,2.5
Chiefs,-7.5
Chargers,7.5
Bills,2.5
Ravens,-2.5
Titans,2.5
Dolphins,-2.5
Seahawks,3.5
Lions,-3.5

