Team,Spread
Packers,-6
Bears,+6
Browns,-1.5
Saints,+1.5
Rams,-4
Patriots,+4
Ravens,-3
Steelers,+3
Raiders,+7.5
Dolphins,-7.5
Jaguars,+14.5
Lions,-14.5
Vikings,-6
Titans,+6
Colts,+4
Jets,-4
Seahawks,+6
49ers,-6
Falcons,+1.5
Broncos,-1.5
Chiefs,+2.5
Bills,-2.5
Bengals,+1.5
Chargers,-1.5
Texans,-7
Cowboys,+7
Commanders,+4.5
Eagles,-4.5
