,Team,Spread
1,Broncos,-2.5
2,Saints,2.5
5,Patriots,6.5
6,Jaguars,-6.5
9,Seahawks,3.0
10,Falcons,-3.0
13,Titans,9.5
14,Bills,-9.5
17,Bengals,-5.5
18,Browns,5.5
21,Texans,3.0
22,Packers,-3.0
25,Dolphins,3.0
26,Colts,-3.0
29,Lions,1.0
30,Vikings,-1.0
33,Giants,3.0
34,Eagles,-3.0
37,Raiders,7.0
38,Rams,-7.0
41,Panthers,9.5
42,Commanders,-9.5
45,Chiefs,1.5
46,49ers,-1.5
49,Jets,-2.0
50,Steelers,2.0
53,Ravens,-4.0
54,Buccaneers,4.0
57,Chargers,-1.0
58,Cardinals,1.0
