Team,Spread
Packers,+3.0
Lions,-3.0
Falcons,+6.0
Vikings,-6.0
Saints,-5.0
Giants,+5.0
Jaguars,+3.0
Titans,-3.0
Raiders,+6.5
Buccaneers,-6.5
Browns,+6.5
Steelers,-6.5
Panthers,+13.5
Eagles,-13.5
Jets,+6.5
Dolphins,-6.5
Seahawks,+2.5
Cardinals,-2.5
Bills,-3.5
Rams,+3.5
Bears,+3.0
49ers,-3.0
Chargers,+4.0
Chiefs,-4.0
Bengals,-5.5
Cowboys,+5.5
