Team,Spread
Saints,+14.5
Buccaneers,-14.5
Bills,-3
Patriots,+3
Bears,+10
Packers,-10
Jaguars,+3.5
Colts,-3.5
Panthers,+7.5
Falcons,-7.5
Commanders,-7
Cowboys,+7
Texans,+2.5
Titans,-2.5
Giants,+3
Eagles,-3
Dolphins,+1.5
Jets,-1.5
Chiefs,+10.5
Broncos,-10.5
Chargers,-7
Raiders,+7
Seahawks,-7
Rams,+7
49ers,+4.5
Cardinals,-4.5
Vikings,+3
Lions,-3
Browns,+19.5
Ravens,-19.5
Bengals,-2.5
Steelers,+2.5
