Player,POS,TM,GP,Total EPA,EPA per Game,EPA per Play ( all plays contributed ),EPA per Play ( all offense ),Total Passing EPA,EPA per Completion,EPA per Attempt,Rushing EPA,EPA per Carry,Receiving EPA,EPA per Reception,EPA per Target
Daniel Jones,QB,['IND'],8,93.8272,11.7284,0.3437,0.1559,85.4854,0.4941,0.3518,8.3418,0.2781,0.0,0.0,0.0
Patrick Mahomes,QB,['KC'],8,88.2912,11.0364,0.2692,0.1375,72.7656,0.385,0.258,15.5256,0.3375,0.0,0.0,0.0
Drake Maye,QB,['NE'],8,75.9291,9.4911,0.2731,0.1201,69.9247,0.4113,0.3094,7.4061,0.1452,-1.4018,-1.4018,-1.4018
Jordan Love,QB,['GB'],7,73.9698,10.5671,0.3108,0.134,65.0255,0.4306,0.3053,8.9443,0.3578,0.0,0.0,0.0
Dak Prescott,QB,['DAL'],8,64.3971,8.0496,0.2044,0.0937,61.9202,0.3035,0.2135,2.4769,0.0991,0.0,0.0,0.0
Sam Darnold,QB,['SEA'],7,57.8588,8.2655,0.2864,0.1088,58.2412,0.4446,0.3033,-0.3824,-0.0382,0.0,0.0,0.0
Jalen Hurts,QB,['PHI'],8,49.0238,6.128,0.1796,0.0814,33.1728,0.2197,0.1543,15.8511,0.2733,0.0,0.0,0.0
C.J. Stroud,QB,['HOU'],7,46.7362,6.6766,0.1804,0.0833,24.3675,0.1572,0.105,22.3687,0.8285,0.0,0.0,0.0
Baker Mayfield,QB,['TB'],8,44.9612,5.6202,0.1545,0.0696,27.5669,0.1603,0.1025,17.3943,0.7907,0.0,0.0,0.0
Jared Goff,QB,['DET'],7,40.4976,5.7854,0.1892,0.0744,47.048,0.3095,0.2318,-6.5505,-0.5955,0.0,0.0,0.0
Lamar Jackson,QB,['BAL'],4,40.0147,10.0037,0.345,0.0774,27.33,0.4019,0.2877,12.6847,0.604,0.0,0.0,0.0
Josh Allen,QB,['BUF'],7,39.7328,5.6761,0.1615,0.0698,27.7322,0.207,0.1408,12.0006,0.2449,0.0,0.0,0.0
Justin Herbert,QB,['LAC'],8,35.1556,4.3944,0.1056,0.0524,25.575,0.1272,0.0864,9.5806,0.2589,0.0,0.0,0.0
Mac Jones,QB,['SF'],6,32.2722,5.3787,0.1296,0.0492,31.2551,0.2098,0.1383,1.0171,0.0442,0.0,0.0,0.0
Matthew Stafford,QB,['LA'],7,30.8886,4.4127,0.1193,0.0563,55.9432,0.3496,0.2312,-25.0546,-1.4738,0.0,0.0,0.0
Bo Nix,QB,['DEN'],8,28.8034,3.6004,0.0889,0.0431,24.6191,0.1375,0.0864,4.1843,0.1073,0.0,0.0,0.0
Brock Purdy,QB,['SF'],2,23.5424,11.7712,0.2943,0.0359,20.4166,0.4253,0.2797,3.1259,0.4466,0.0,0.0,0.0
Aaron Rodgers,QB,['PIT'],7,19.5991,2.7999,0.0895,0.0387,21.7713,0.1533,0.1047,-2.1722,-0.1975,0.0,0.0,0.0
Jaxson Dart,QB,['NYG'],7,19.0499,2.7214,0.103,0.0283,5.8183,0.0685,0.041,13.2316,0.3077,0.0,0.0,0.0
Kyler Murray,QB,['ARI'],5,9.6874,1.9375,0.051,0.0168,4.5689,0.0415,0.0284,5.1185,0.1765,0.0,0.0,0.0
Jacoby Brissett,QB,['ARI'],4,8.898,2.2245,0.0978,0.0155,5.9777,0.115,0.0738,2.9202,0.292,0.0,0.0,0.0
Tyler Huntley,QB,['BAL'],2,8.305,4.1525,0.173,0.0161,-0.7587,-0.0281,-0.0205,9.0637,0.824,0.0,0.0,0.0
Joe Milton III,QB,['DAL'],2,5.0403,2.5202,0.56,0.0073,5.0403,0.8401,0.56,0.0,0.0,0.0,0.0,0.0
Trevor Lawrence,QB,['JAX'],7,4.8236,0.6891,0.0167,0.0081,0.3381,0.0022,0.0013,4.4856,0.1495,0.0,0.0,0.0
Michael Penix Jr.,QB,['ATL'],6,3.9542,0.659,0.0187,0.007,-0.3761,-0.0032,-0.0019,4.3303,0.2547,0.0,0.0,0.0
Jayden Daniels,QB,['WAS'],5,3.379,0.6758,0.0178,0.0055,3.6474,0.041,0.025,-0.2684,-0.0061,0.0,0.0,0.0
Carson Wentz,QB,['MIN'],5,2.3148,0.463,0.0129,0.0043,5.5678,0.0506,0.0329,-3.253,-0.2957,0.0,0.0,0.0
Joe Burrow,QB,['CIN'],2,0.936,0.468,0.0246,0.0015,2.2987,0.1095,0.0639,-1.3627,-0.6814,0.0,0.0,0.0
Tyson Bagent,QB,['CHI'],1,0.931,0.931,0.1862,0.0016,1.0241,0.512,0.3414,-0.0931,-0.0466,0.0,0.0,0.0
Tua Tagovailoa,QB,['MIA'],8,0.7952,0.0994,0.0033,0.0014,3.0938,0.0195,0.0134,-2.2987,-0.209,0.0,0.0,0.0
Caleb Williams,QB,['CHI'],7,0.7172,0.1025,0.0028,0.0012,9.2877,0.0673,0.0416,-8.5705,-0.2449,0.0,0.0,0.0
Mason Rudolph,QB,['PIT'],2,0.3892,0.1946,0.0778,0.0008,-0.0337,-0.0169,-0.0169,0.4229,0.141,0.0,0.0,0.0
