QB Name,GP,Total Adj EPA,Adj EPA Per Touch,Adj EPA Per Play
P.Mahomes,1,55.26239917730915,1.3157714089835513,0.6822518416951747
R.Wilson,1,26.402238071914358,0.5867164015980968,0.33002797589892946
C.Wentz,1,17.475322041850585,0.3566392253438895,0.210546048696995
T.Tagovailoa,1,12.01110737054298,0.3160817729090258,0.16453571740469836
J.Winston,1,3.474323851407285,0.08272199646207821,0.04963319787724693
T.Lawrence,1,0.7750344018460722,0.01614655003845984,0.009687930023075903
J.Brissett,1,0.23454909866623574,0.0060140794529804035,0.0024689378806972183
J.Goff,1,0.07278539376768389,0.0018662921478893306,0.000898585108243011
M.Ryan,1,-2.6366925158381225,-0.04708379492568076,-0.025352812652289638
K.Murray,1,-3.164850644359211,-0.0719284237354366,-0.04276825195080015
M.Trubisky,1,-9.00395337486496,-0.21960861889914535,-0.1154352996777559
D.Mills,1,-12.972224411447804,-0.3163957173523855,-0.15083981873776517
J.Flacco,1,-17.35179022698464,-0.2754252416981689,-0.18265042344194357
J.Burrow,1,-24.02871654936694,-0.3533634786671609,-0.2204469408198802
A.Rodgers,1,-21.024954165903832,-0.553288267523785,-0.31380528605826613
M.Stafford,1,-38.4762645696338,-0.7852298891762,-0.4809533071204225
D.Carr,1,,,
