Team,Spread
Browns,+8.5
Jaguars,-8.5
Buccaneers,+3.5
Bengals,-3.5
Ravens,-3
Colts,+3
Falcons,+6.5
Steelers,-6.5
Bills,-1.5
Texans,+1.5
Bears,-3
Panthers,+3
Jets,+1.5
Titans,-1.5
Saints,+7
Lions,-7
Cardinals,+9.5
Chargers,-9.5
Dolphins,+3
Raiders,-3
Commanders,+6
Eagles,-6
Packers,+1.5
Vikings,-1.5
Cowboys,-3
Giants,+3
Broncos,+2.5
Chiefs,-2.5
Patriots,+3
Seahawks,-3
49ers,+3.5
Rams,-3.5
