Player,POS,GP,Total EPA,EPA per Game,EPA per Play,Total Passing EPA,EPA per Completion,EPA per Attempt,Rushing EPA,EPA per Carry,Receiving EPA,EPA per Reception,EPA per Target
Brandon Aiyuk,WR,1,17.6566289633629,17.6566289633629,2.2070786204203623,0.0,0.0,0.0,0.0,0.0,17.6566289633629,2.2070786204203623,2.2070786204203623
Tyreek Hill,WR,1,14.675944072019801,14.675944072019801,0.9783962714679867,0.0,0.0,0.0,0.0,0.0,14.675944072019801,1.334176733819982,0.9783962714679867
Jakobi Meyers,WR,1,9.08685795420208,9.08685795420208,0.9086857954202079,0.0,0.0,0.0,0.0,0.0,9.08685795420208,1.009650883800231,0.9086857954202079
Chris Olave,WR,1,8.05149511533091,8.05149511533091,0.805149511533091,0.0,0.0,0.0,0.0,0.0,8.05149511533091,1.0064368894163638,0.805149511533091
Tutu Atwell,WR,1,7.99961033491449,7.99961033491449,0.9999512918643112,0.0,0.0,0.0,0.0,0.0,7.99961033491449,1.3332683891524149,0.9999512918643112
Puka Nacua,WR,1,7.5842036652735,7.5842036652735,0.5056135776849,0.0,0.0,0.0,0.0,0.0,7.5842036652735,0.75842036652735,0.5056135776849
Davante Adams,WR,1,6.864858189132071,6.864858189132071,0.7627620210146745,0.0,0.0,0.0,0.0,0.0,6.864858189132071,1.1441430315220118,0.7627620210146745
Romeo Doubs,WR,1,6.170353418856389,6.170353418856389,1.2340706837712778,0.0,0.0,0.0,0.0,0.0,6.170353418856389,1.5425883547140973,1.2340706837712778
Zay Jones,WR,1,6.12074635556201,6.12074635556201,0.8743923365088585,0.0,0.0,0.0,0.0,0.0,6.12074635556201,1.224149271112402,0.8743923365088585
Justin Jefferson,WR,1,6.01227383600781,6.01227383600781,0.5010228196673175,0.0,0.0,0.0,0.0,0.0,6.01227383600781,0.6680304262230901,0.5010228196673175
Amon-Ra St. Brown,WR,1,5.60731484324788,5.60731484324788,0.6230349825830978,0.0,0.0,0.0,0.0,0.0,5.60731484324788,0.9345524738746467,0.6230349825830978
Calvin Ridley,WR,1,5.22976013825974,5.22976013825974,0.47543273984179457,0.0,0.0,0.0,0.0,0.0,5.22976013825974,0.6537200172824675,0.47543273984179457
Rashid Shaheed,WR,1,4.98661151045234,4.98661151045234,0.6233264388065425,0.0,0.0,0.0,-1.31083012267482,-0.65541506133741,6.29744163312716,1.259488326625432,1.0495736055211933
Marquise Brown,WR,1,4.73903676854003,4.73903676854003,0.7898394614233384,0.0,0.0,0.0,2.1730704207438998,2.1730704207438998,2.56596634779613,0.8553221159320433,0.5131932695592261
Jordan Addison,WR,1,4.47337468263338,4.47337468263338,0.7455624471055633,0.0,0.0,0.0,0.0,0.0,4.47337468263338,1.118343670658345,0.7455624471055633
Jaylen Waddle,WR,1,3.8550424290006102,3.8550424290006102,0.771008485800122,0.0,0.0,0.0,0.0,0.0,3.8550424290006102,0.9637606072501526,0.771008485800122
Keenan Allen,WR,1,3.815696748613844,3.815696748613844,0.34688152260125854,0.0,0.0,0.0,0.153951175743714,0.076975587871857,3.66174557287013,0.6102909288116883,0.4068606192077922
Chris Godwin,WR,1,3.78761572140502,3.78761572140502,0.6312692869008366,0.0,0.0,0.0,0.0,0.0,3.78761572140502,0.757523144281004,0.6312692869008366
Nico Collins,WR,1,3.7663894020661197,3.7663894020661197,0.3423990365514654,0.0,0.0,0.0,0.0,0.0,3.7663894020661197,0.62773156701102,0.3423990365514654
Stefon Diggs,WR,1,3.72307985165389,3.72307985165389,0.28639075781953,0.0,0.0,0.0,0.0,0.0,3.72307985165389,0.372307985165389,0.28639075781953
Zay Flowers,WR,1,3.7037448508976203,3.7037448508976203,0.30864540424146836,0.0,0.0,0.0,1.0865452939178801,0.5432726469589401,2.6171995569797404,0.2907999507755267,0.261719955697974
Courtland Sutton,WR,1,3.61396339247585,3.61396339247585,0.72279267849517,0.0,0.0,0.0,0.0,0.0,3.61396339247585,0.9034908481189625,0.72279267849517
Garrett Wilson,WR,1,3.6068560012208803,3.6068560012208803,0.7213712002441761,0.0,0.0,0.0,0.0,0.0,3.6068560012208803,0.7213712002441761,0.7213712002441761
DK Metcalf,WR,1,3.4604817343642904,3.4604817343642904,0.692096346872858,0.0,0.0,0.0,0.0,0.0,3.4604817343642904,1.1534939114547635,0.692096346872858
Kavontae Turpin,WR,1,3.378512463765215,3.378512463765215,0.5630854106275358,0.0,0.0,0.0,2.7088021996314597,0.9029340665438199,0.669710264133755,0.3348551320668775,0.22323675471125168
Braxton Berrios,WR,1,3.20920239115367,3.20920239115367,0.641840478230734,0.0,0.0,0.0,0.0,0.0,3.20920239115367,1.0697341303845567,0.641840478230734
River Cracraft,WR,1,2.91257298219716,2.91257298219716,0.582514596439432,0.0,0.0,0.0,0.0,0.0,2.91257298219716,0.9708576607323867,0.582514596439432
Mike Evans,WR,1,2.79041498451261,2.79041498451261,0.27904149845126097,0.0,0.0,0.0,0.0,0.0,2.79041498451261,0.46506916408543497,0.27904149845126097
Robert Woods,WR,1,2.5794656837445,2.5794656837445,0.25794656837445,0.0,0.0,0.0,0.0,0.0,2.5794656837445,0.42991094729075,0.25794656837445
Van Jefferson,WR,1,2.23354014584169,2.23354014584169,0.44670802916833796,0.0,0.0,0.0,0.0,0.0,2.23354014584169,0.5583850364604225,0.44670802916833796
