QB Name,Total Adj EPA,Adj EPA Per Touch,Adj EPA Per Play
P.Manning,206.110933831089,0.2602410780695568,0.12371604671734034
J.McCown,76.68868755681574,0.30675475022726295,0.11211796426435049
P.Rivers,127.62608657153505,0.1948489871321146,0.08525456684805281
A.Rodgers,67.98068563009268,0.1812818283469138,0.08016590286567533
N.Foles,71.13327680591865,0.158779635727497,0.05967556779020022
D.Brees,80.2594228352553,0.09994946803892316,0.05171354564127274
C.Kaepernick,38.464094217791796,0.058190762810577605,0.026006825028932926
R.Fitzpatrick,18.369112225289587,0.04436983629297002,0.01992311521181083
C.Newton,18.32549088328517,0.027474499075390058,0.013861944692348842
T.Romo,15.915614544666855,0.026704051249441033,0.013396981939955265
R.Wilson,15.3873771017318,0.02534987990400626,0.010813335981540268
T.Brady,15.296314623300557,0.019762680391861184,0.00942471634214452
A.Dalton,12.929009065004022,0.017542753141118077,0.008765429874578998
J.Locker,3.840600737008857,0.01722242482963613,0.006633161894661238
A.Luck,5.327090005386701,0.006873664523079614,0.0035561348500578777
B.Roethlisberger,1.3128876963333074,0.002004408696692072,0.0010014398904144221
M.Stafford,-0.46488780149770825,-0.0006603519907637901,-0.00033325290429943246
A.Smith,-6.603266702841207,-0.009353068984194345,-0.0056631789904298515
M.Vick,-3.4865856517066893,-0.018159300269305675,-0.005678478260108614
J.Cutler,-7.90436674481411,-0.019613813262566032,-0.009002695609127689
R.Griffin,-24.124373810231763,-0.04102784661604041,-0.020796873974337726
M.McGloin,-17.03043386595928,-0.0746948853770144,-0.02755733635268492
M.Ryan,-40.215627759420585,-0.05648262325761318,-0.030124065737393697
R.Tannehill,-55.22152756565422,-0.08026384820589276,-0.043007420222472136
C.Ponder,-36.31038951606766,-0.12103463172022554,-0.04746456145891197
E.Manuel,-44.281534076170686,-0.11325200530989946,-0.048448067917035764
J.Flacco,-70.82210407769998,-0.10219639838051944,-0.049630065926909585
C.Palmer,-66.67993723780417,-0.10354027521398163,-0.04979831011038399
S.Bradford,-28.938757141390163,-0.09843114673942233,-0.05015382520171605
T.Pryor,-49.35592218168,-0.127865083372228,-0.053242634500194175
J.Campbell,-47.55501909825257,-0.1370461645482783,-0.06265483412154489
M.Cassel,-46.454304605239855,-0.16018725725944777,-0.06416340415088377
C.Keenum,-43.75159708833716,-0.15297761219698305,-0.06559459833333907
G.Smith,-92.19468660089427,-0.16522345268977467,-0.0694760260745247
M.Schaub,-65.61123514812428,-0.17086259153157365,-0.0711618602474233
E.Manning,-93.69105375823312,-0.1540971278918308,-0.07313899590806645
C.Henne,-97.81895131736309,-0.17101215265273267,-0.07757252285278596
T.Lewis,-33.535239187255385,-0.16851878988570546,-0.07780797955279671
M.Glennon,-89.88834594074257,-0.18610423590215852,-0.08385106897457328
K.Clemens,-63.84874943139455,-0.2201681014875674,-0.08445601776639491
B.Weeden,-62.458258075786134,-0.20278655219411082,-0.088217878638116
M.Flynn,-55.75298117177333,-0.2230119246870933,-0.09902838574027234
K.Cousins,-45.83074359312205,-0.2760888168260365,-0.10511638438789461
J.Freeman,-44.984106502993264,-0.2811506656437079,-0.13269647935986215
