Team,Spread
Buccaneers,+6
Lions,-6
Texans,+3
Seahawks,-3
Steelers,-5.5
Bengals,+5.5
Rams,-3.5
Jaguars,+3.5
Panthers,+1.5
Jets,-1.5
Saints,+3.5
Bears,-3.5
Patriots,-6.5
Titans,+6.5
Dolphins,+2.5
Browns,-2.5
Eagles,-2.5
Vikings,+2.5
Raiders,+12.5
Chiefs,-12.5
Colts,+2.5
Chargers,-2.5
Giants,+7.5
Broncos,-7.5
Commanders,+1.5
Cowboys,-1.5
Packers,-7
Cardinals,+7
Falcons,+1.5
49ers,-1.5
