Team,Spread
Giants,+7
Patriots,-7
Packers,+2.5
Lions,-2.5
Chiefs,-3.5
Cowboys,+3.5
Bengals,+7
Ravens,-7
Bears,+7
Eagles,-7
Cardinals,+4.5
Buccaneers,-4.5
Saints,+5.5
Dolphins,-5.5
Jaguars,-6
Titans,+6
49ers,-4.5
Browns,+4.5
Falcons,-3
Jets,+3
Rams,-10
Panthers,+10
Texans,+3
Colts,-3
Vikings,+12.5
Seahawks,-12.5
Bills,-3
Steelers,+3
Raiders,+9.5
Chargers,-9.5
Broncos,-6.5
Commanders,+6.5
