Team,Spread
49ers,+5.5
Eagles,-5.5
Chargers,+3.5
Patriots,-3.5
Texans,-3
Steelers,+3
Rams,-10
Panthers,+10
Packers,-1.5
Bears,+1.5
Bills,+1.5
Jaguars,-1.5
