Team,Spread
Falcons,+6.5
Colts,-6.5
Browns,-1.5
Jets,+1.5
Saints,+5.5
Panthers,-5.5
Bills,-8.5
Dolphins,+8.5
Jaguars,-1.5
Texans,+1.5
Ravens,-4.5
Vikings,+4.5
Patriots,+2.5
Buccaneers,-2.5
Giants,+4.5
Bears,-4.5
Cardinals,+7
Seahawks,-7
Lions,-8.5
Commanders,+8.5
Rams,-5.5
49ers,+5.5
Steelers,+3
Chargers,-3
Eagles,+1.5
Packers,-1.5
Raiders,+9.5
Broncos,-9.5
