Team,Spread
Bears,-2.5
Bengals,+2.5
49ers,-2.5
Giants,+2.5
Falcons,+4.5
Patriots,-4.5
Colts,-3.5
Steelers,+3.5
Panthers,+12.5
Packers,-12.5
Vikings,+8.5
Lions,-8.5
Broncos,+1.5
Texans,-1.5
Chargers,-9.5
Titans,+9.5
Jaguars,-3
Raiders,+3
Saints,+14
Rams,-14
Chiefs,-1.5
Bills,+1.5
Seahawks,-3
Commanders,+3
Cardinals,+3
Cowboys,-3
Ravens,-7.5
Dolphins,+7.5
