Team,Spread
Steelers,+3
Bears,-3
Jets,+13.5
Ravens,-13.5
Giants,+14
Lions,-14
Patriots,-7.5
Bengals,+7.5
Seahawks,-12.5
Titans,+12.5
Vikings,+6.5
Packers,-6.5
Colts,+3.5
Chiefs,-3.5
Jaguars,-2.5
Cardinals,+2.5
Browns,+3
Raiders,-3
Falcons,+1.5
Saints,-1.5
Eagles,-3
Cowboys,+3
Buccaneers,+7
Rams,-7
Panthers,+7.5
49ers,-7.5
Bills,-4.5
Texans,+4.5
