Team,Spread
Steelers,-3
Jets,+3
Dolphins,+1.5
Colts,-1.5
Panthers,+4.5
Jaguars,-4.5
Giants,+6
Commanders,-6
Bengals,-5.5
Browns,+5.5
Raiders,+2.5
Patriots,-2.5
Cardinals,-6
Saints,+6
Buccaneers,-1.5
Falcons,+1.5
Titans,+8.5
Broncos,-8.5
49ers,-1.5
Seahawks,+1.5
Lions,+1.5
Packers,-1.5
Texans,+3
Rams,-3
Ravens,-1.5
Bills,+1.5
Vikings,-1.5
Bears,+1.5
Cowboys,+8.5
Eagles,-8.5
Chiefs,-3
Chargers,+3
