Team,Spread
Bills,-10.5
Browns,+10.5
Jets,+6.5
Saints,-6.5
Vikings,-2.5
Giants,+2.5
Buccaneers,-3
Panthers,+3
Chiefs,-2.5
Titans,+2.5
Chargers,+1.5
Cowboys,-1.5
Bengals,-4.5
Dolphins,+4.5
Falcons,-3
Cardinals,+3
Jaguars,+3.5
Broncos,-3.5
Steelers,+7
Lions,-7
Raiders,+14.5
Texans,-14.5
Patriots,+3
Ravens,-3
49ers,-5.5
Colts,+5.5
Rams,+1.5
Seahawks,-1.5
Eagles,-7
Commanders,+7
Packers,+1.5
Bears,-1.5
