Team,Spread
Cardinals,+10.5
Texans,-10.5
Raiders,+12.5
Eagles,-12.5
Jets,+14
Jaguars,-14
Browns,+7.5
Bears,-7.5
Bills,-2.5
Patriots,+2.5
Ravens,-2.5
Bengals,+2.5
Chargers,+5.5
Chiefs,-5.5
Commanders,+2.5
Giants,-2.5
Colts,+14
Seahawks,-14
Packers,-1.5
Broncos,+1.5
Panthers,-2.5
Saints,+2.5
Lions,+6
Rams,-6
Titans,+12.5
49ers,-12.5
Vikings,+5.5
Cowboys,-5.5
Dolphins,+3
Steelers,-3
Falcons,+6
Buccaneers,-6
