Player,POS,TM,GP,Total EPA,EPA per Game,EPA per Play ( all plays contributed ),EPA per Play ( all offense ),Total Passing EPA,EPA per Completion,EPA per Attempt,Rushing EPA,EPA per Carry,Receiving EPA,EPA per Reception,EPA per Target
Baker Mayfield,QB,['TB'],5,62.1359,12.4272,0.3253,0.1465,44.9448,0.4013,0.2613,17.1911,0.9048,0,0,0
Daniel Jones,QB,['IND'],5,57.7267,11.5453,0.3416,0.148,49.5879,0.4634,0.3306,8.1388,0.4284,0,0,0
Sam Darnold,QB,['SEA'],5,48.2462,9.6492,0.3522,0.1293,45.5801,0.4651,0.3402,2.6661,0.8887,0,0,0
Dak Prescott,QB,['DAL'],5,44.6101,8.922,0.2155,0.1016,44.1241,0.3174,0.2263,0.4859,0.0405,0,0,0
Drake Maye,QB,['NE'],5,41.6076,8.3215,0.2299,0.107,39.5256,0.3498,0.2583,3.4799,0.1289,-1.3978004302737974,-1.3978004302737974,-1.3978004302737974
Patrick Mahomes,QB,['KC'],5,40.2923,8.0585,0.191,0.1007,26.9571,0.2324,0.1473,13.3352,0.4763,0,0,0
Josh Allen,QB,['BUF'],5,40.1021,8.0204,0.2089,0.0953,27.7101,0.259,0.1823,12.392,0.3098,0,0,0
Jared Goff,QB,['DET'],5,39.4357,7.8871,0.2577,0.0998,47.1972,0.433,0.3255,-7.7615,-0.9702,0,0,0
Lamar Jackson,QB,['BAL'],4,33.8635,8.4659,0.2919,0.0965,21.8059,0.3207,0.2295,12.0576,0.5742,0,0,0
C.J. Stroud,QB,['HOU'],5,31.6488,6.3298,0.1954,0.0842,16.9546,0.1662,0.1177,14.6942,0.8163,0,0,0
Jordan Love,QB,['GB'],4,31.0076,7.7519,0.2314,0.0945,25.7212,0.3062,0.2126,5.2865,0.4067,0,0,0
Matthew Stafford,QB,['LA'],5,30.7562,6.1512,0.1585,0.0767,52.5802,0.431,0.2873,-21.824,-1.984,0,0,0
Mac Jones,QB,['SF'],3,24.2397,8.0799,0.1731,0.0562,23.8313,0.2771,0.1847,0.4083,0.0371,0,0,0
Brock Purdy,QB,['SF'],2,23.731,11.8655,f,0.0551,20.7949,0.4332,0.2849,2.9361,0.4194,0,0,0
Carson Wentz,QB,['MIN'],3,18.4879,6.1626,0.1728,0.0479,20.263,0.2937,0.2026,-1.7752,-0.2536,0,0,0
Bo Nix,QB,['DEN'],5,17.6587,3.5317,0.0866,0.0421,20.0304,0.1757,0.1138,-2.3717,-0.0847,0,0,0
Tua Tagovailoa,QB,['MIA'],5,17.553,3.5106,0.1118,0.0504,16.8088,0.1586,0.1121,0.7441,0.1063,0,0,0
Trevor Lawrence,QB,['JAX'],5,12.2172,2.4434,0.063,0.0297,9.1687,0.0899,0.0543,3.0485,0.1219,0,0,0
Marcus Mariota,QB,['WAS'],2,11.9446,5.9723,0.2133,0.0308,10.7886,0.348,0.2248,1.156,0.1445,0,0,0
Kyler Murray,QB,['ARI'],5,11.3189,2.2638,0.0596,0.0284,6.7736,0.0616,0.0421,4.5453,0.1567,0,0,0
Michael Penix Jr.,QB,['ATL'],4,10.3944,2.5986,0.0753,0.031,7.264,0.0931,0.0581,3.1304,0.2408,0,0,0
Andy Dalton,QB,['CAR'],2,9.9007,4.9503,1.4144,0.0235,9.9128,1.9826,1.6521,-0.0121,-0.0121,0,0,0
Jayden Daniels,QB,['WAS'],3,9.4468,3.1489,0.0762,0.0243,7.2058,0.1242,0.0735,2.241,0.0862,0,0,0
Jalen Hurts,QB,['PHI'],5,7.9332,1.5866,0.0436,0.0204,-4.8396,-0.052,-0.0348,12.7728,0.297,0,0,0
Aaron Rodgers,QB,['PIT'],4,3.6418,0.9105,0.0311,0.0129,5.6892,0.0769,0.0527,-2.0474,-0.2275,0,0,0
Justin Fields,QB,['NYJ'],4,1.694,0.4235,0.0124,0.0042,-1.5453,-0.0218,-0.0146,3.2394,0.1045,0,0,0
Dillon Gabriel,QB,['CLE'],3,1.2322,0.4107,0.0316,0.0029,2.6466,0.1203,0.0715,-1.4144,-0.7072,0,0,0
Tyson Bagent,QB,['CHI'],1,0.5603,0.5603,0.1121,0.0017,0.6706,0.3353,0.2235,-0.1103,-0.0552,0,0,0
Caleb Williams,QB,['CHI'],4,0.0573,0.0143,0.0004,0.0002,2.3418,0.0289,0.018,-2.2845,-0.0952,0,0,0
Joe Burrow,QB,['CIN'],2,0.0521,0.0261,0.0014,0.0001,1.3535,0.0645,0.0376,-1.3013,-0.6507,0,0,0
Joe Milton III,QB,['DAL'],1,-0.614,-0.614,-0.1228,-0.0014,-0.614,-0.2047,-0.1228,0.0,0.0,0,0,0
Mitchell Trubisky,QB,['BUF'],1,-0.9491,-0.9491,-0.1898,-0.0023,2.3134,2.3134,1.1567,-3.2624,-1.0875,0,0,0
Trey Lance,QB,['LAC'],1,-1.0784,-1.0784,-0.2157,-0.0026,-1.7013,-0.5671,-0.4253,0.6229,0.6229,0,0,0
Tyrod Taylor,QB,['NYJ'],2,-1.1094,-0.5547,-0.0191,-0.0027,-2.5917,-0.0785,-0.0551,1.4823,0.1348,0,0,0
Zach Wilson,QB,['MIA'],1,-1.8112,-1.8112,-0.2012,-0.0052,-1.5021,-0.3004,-0.1878,-0.3091,-0.3091,0,0,0
Spencer Rattler,QB,['NO'],5,-2.0996,-0.4199,-0.0105,-0.0048,-7.1661,-0.0607,-0.0407,10.1937,0.4633,-5.127167657843681,-5.127167657843681,-2.5635838289218404
Kirk Cousins,QB,['ATL'],1,-2.7986,-2.7986,-0.3998,-0.0084,-2.7986,-0.5597,-0.3998,0.0,0.0,0,0,0
Davis Mills,QB,['HOU'],1,-2.8955,-2.8955,-0.4136,-0.0077,0.2501,0.1251,0.0625,-3.1456,-1.0485,0,0,0
Anthony Richardson,QB,['IND'],2,-3.5302,-1.7651,-0.5043,-0.0091,-1.3486,-1.3486,-0.6743,-2.5707,-0.6427,0.38907279228775155,0.38907279228775155,0.38907279228775155
Max Brosmer,QB,['MIN'],2,-3.8249,-1.9124,-0.765,-0.0099,-3.9966,-1.9983,-0.9991,0.1717,0.1717,0,0,0
