QB Name,GP,Total Adj EPA,Adj EPA Per Touch,Adj EPA Per Play
J.Allen,7,93.40631342984378,0.3620399745342782,0.16769535624747536
P.Mahomes,7,91.33525386196472,0.3345613694577462,0.15829333424950556
T.Tagovailoa,7,67.89677822776817,0.2840869381914986,0.12458124445462049
B.Purdy,7,68.23399133208767,0.3328487382053057,0.12316604933589832
J.Herbert,6,40.496820144421434,0.1776176322123747,0.08067095646299091
J.Hurts,7,47.49002166741899,0.18195410600543677,0.07798033114518718
L.Jackson,7,31.2429526131187,0.1446432991348088,0.05471620422612732
K.Cousins,7,28.863505433073673,0.09784239129855482,0.052479100787406675
M.Stafford,7,30.32528141024376,0.11027375058270458,0.052105294519319174
J.Love,6,24.02195714778899,0.1166114424649951,0.05199557824196751
A.Richardson,4,15.928617370340696,0.17127545559506124,0.05008999173063112
J.Goff,7,25.05305696798456,0.09210682708817852,0.04282573840681121
R.Wilson,7,21.611403367896454,0.09196341858679342,0.04140115587719627
A.Dalton,2,7.867207441172089,0.12897061378970637,0.040138813475367796
B.Mayfield,6,18.882032422848486,0.08823379636845087,0.039919730280863604
D.Prescott,6,18.038107132891525,0.08842209378868394,0.03666281937579578
C.Stroud,6,16.9667240567908,0.07507400025128672,0.03379825509320876
J.Garoppolo,5,12.649536559958635,0.08160991329005571,0.03373209749322303
G.Smith,6,12.660835097117813,0.06267740147088026,0.026767093228578887
T.Taylor,5,7.697495861059188,0.08747154387567259,0.01877438014892485
S.Howell,7,-0.8876383624668964,-0.0029786522230432766,-0.0015277768717158286
J.Fields,6,-4.475461697348633,-0.023932950253201246,-0.009481910375738629
T.Lawrence,7,-7.0901136033260626,-0.02780436707186691,-0.011916157316514391
D.Carr,7,-9.85948775430478,-0.035983531950017446,-0.01577518040688765
G.Minshew,6,-10.906423975482937,-0.06304291315308057,-0.02046233391272596
D.Watson,4,-8.579800714145424,-0.07090744391855723,-0.023314675853656045
A.O'Connell,2,-4.24489016744556,-0.070748169457426,-0.02572660707542764
D.Ridder,7,-15.91315252161992,-0.06390824305871454,-0.026971444951898172
T.Bagent,2,-5.865123191542269,-0.13033607092316152,-0.03554620116086223
B.Hoyer,2,-6.8329834399433205,-0.15890659162658885,-0.042706146499645756
J.Burrow,6,-24.810512220942655,-0.10085574073553925,-0.05234285278679885
J.Dobbs,7,-30.22003169067332,-0.12284565727915983,-0.05348678175340411
M.Jones,7,-32.95288116834881,-0.1339548014973529,-0.05791367516405766
R.Tannehill,6,-31.089918418777938,-0.1756492566032652,-0.06893551755826594
K.Pickett,6,-37.588531661203845,-0.18700762020499426,-0.08316046827699966
B.Young,5,-40.197193989377105,-0.20199594969536233,-0.09435961030370213
Z.Wilson,6,-46.35225031096239,-0.22833620842838614,-0.10300500069102753
D.Jones,5,-43.59599743345885,-0.24219998574143806,-0.10607298645610426
P.Walker,2,-22.313583931675204,-0.3187654847382172,-0.11996550500900648
D.Thompson-Robinson,1,-29.447202576865237,-0.736180064421631,-0.3424093322891307
