Player,POS,TM,GP,Total EPA,EPA per Game,EPA per Play ( all plays contributed ),EPA per Play ( all offense ),Total Passing EPA,EPA per Completion,EPA per Attempt,Rushing EPA,EPA per Carry,Receiving EPA,EPA per Reception,EPA per Target
Patrick Mahomes,QB,['KC'],18,225.0331,12.5018,0.2878,0.1414,210.0767,0.4508,0.298,17.2591,0.2301,-2.3026651484577556,0,-1.1513325742288778
Aaron Rodgers,QB,['GB'],18,208.3059,11.5725,0.319,0.1453,208.8883,0.4881,0.3424,0.8651,0.0206,-1.4474888326245159,-1.4474888326245159,-1.4474888326245159
Josh Allen,QB,['BUF'],19,190.4262,10.0224,0.2322,0.1218,180.6279,0.3819,0.261,7.4763,0.0589,2.3220374367491052,2.3220374367491052,2.3220374367491052
Tom Brady,QB,['TB'],20,161.8127,8.0906,0.2046,0.0984,183.9685,0.3817,0.2459,-22.1558,-0.5153,0,0,0
Ryan Tannehill,QB,['TEN'],17,147.1066,8.6533,0.2655,0.1053,122.8976,0.3691,0.2424,26.7854,0.5952,-2.5764887619732812,-1.2882443809866406,-1.2882443809866406
Deshaun Watson,QB,['HOU'],16,143.5077,8.9692,0.2264,0.1171,131.2965,0.3437,0.2414,12.2112,0.1357,0,0,0
Baker Mayfield,QB,['CLE'],18,102.3378,5.6854,0.1648,0.0694,106.2399,0.3044,0.1907,-4.5121,-0.0728,0.6099875889629844,0.3049937944814922,0.3049937944814922
Philip Rivers,QB,['IND'],17,89.2263,5.2486,0.1468,0.0632,99.8532,0.2522,0.1695,-10.6269,-0.5593,0,0,0
Kirk Cousins,QB,['MIN'],16,88.5526,5.5345,0.1616,0.066,87.1571,0.2497,0.1689,1.3954,0.0436,0,0,0
Justin Herbert,QB,['LAC'],15,88.4581,5.8972,0.1361,0.0624,89.484,0.226,0.1504,-1.0259,-0.0187,0,0,0
Derek Carr,QB,['LV'],16,78.5491,4.9093,0.1413,0.0591,71.9324,0.2067,0.1391,6.6168,0.1697,0,0,0
Lamar Jackson,QB,['BAL'],17,77.9106,4.583,0.1281,0.0546,38.4942,0.141,0.0908,39.4164,0.2142,0,0,0
Russell Wilson,QB,['SEA'],17,75.2593,4.427,0.112,0.0539,69.715,0.1765,0.1192,5.5444,0.0637,0,0,0
Kyler Murray,QB,['ARI'],16,73.8321,4.6145,0.1068,0.0532,27.5159,0.0734,0.0493,46.3162,0.3482,0,0,0
Matt Ryan,QB,['ATL'],16,72.1638,4.5102,0.1102,0.0529,72.0481,0.177,0.1151,0.1157,0.004,0,0,0
Drew Brees,QB,['NO'],14,59.9707,4.2836,0.1234,0.0401,67.4907,0.2096,0.1458,-7.52,-0.327,0,0,0
Matthew Stafford,QB,['DET'],16,57.6467,3.6029,0.1033,0.0443,53.663,0.1583,0.1016,4.5436,0.1567,-0.5599281712983301,0,-0.5599281712983301
Teddy Bridgewater,QB,['CAR'],15,56.0475,3.7365,0.1028,0.0441,43.233,0.1272,0.0879,12.8144,0.2418,0,0,0
Joe Burrow,QB,['CIN'],10,48.5017,4.8502,0.11,0.0359,48.9024,0.1852,0.121,-0.4007,-0.0108,0,0,0
Dak Prescott,QB,['DAL'],5,44.2046,8.8409,0.1834,0.0317,31.5982,0.2093,0.1423,9.982,0.5546,2.624400436190913,2.624400436190913,2.624400436190913
Ryan Fitzpatrick,QB,['MIA'],9,39.8378,4.4264,0.1337,0.0304,37.6655,0.2058,0.1411,3.775,0.1258,-1.602790070082715,-1.602790070082715,-1.602790070082715
