Player,POS,GP,Total EPA,EPA per Game,EPA per Play,Total Passing EPA,EPA per Completion,EPA per Attempt,Rushing EPA,EPA per Carry,Receiving EPA,EPA per Reception,EPA per Target
Mitchell Wilcox,TE,9,0.18733151290030792,0.020814612544478656,0.015610959408358993,0,0,0,0,0,0.18733151290030792,0.020814612544478656,0.015610959408358993
Cole Turner,TE,7,-0.08400019349788934,-0.01200002764255562,-0.005600012899859289,0,0,0,0,0,-0.08400019349788934,-0.007636381227080849,-0.005600012899859289
Brenton Strange,TE,5,-0.5621333345656272,-0.11242666691312544,-0.0624592593961808,0,0,0,0,0,-0.5621333345656272,-0.11242666691312544,-0.0624592593961808
Adam Trautman,TE,16,-0.5628976415398139,-0.03518110259623837,-0.016082789758280397,0,0,0,0,0,-0.5628976415398139,-0.025586256433627906,-0.016082789758280397
Jordan Akins,TE,13,-0.965450262674193,-0.07426540482109177,-0.041976098377138824,0,0,0,0,0,-0.965450262674193,-0.0643633508449462,-0.041976098377138824
Ko Kieft,TE,3,-1.3916026816909144,-0.46386756056363815,-0.2783205363381829,0,0,0,0,0,-1.3916026816909144,-1.3916026816909144,-0.2783205363381829
Stephen Sullivan,TE,10,-1.632760486934884,-0.16327604869348838,-0.06803168695562016,0,0,0,0,0,-1.632760486934884,-0.13606337391124032,-0.06803168695562016
Mike Gesicki,TE,15,-1.7456720657203333,-0.11637813771468888,-0.038792712571562964,0,0,0,0,0,-1.7456720657203333,-0.060195588473114944,-0.038792712571562964
Peyton Hendershot,TE,7,-1.786023750441981,-0.2551462500631401,-0.22325296880524761,0,0,0,-0.1624667136538367,-0.1624667136538367,-1.6235570367881442,-0.40588925919703606,-0.23193671954116346
Jack Stoll,TE,5,-1.908567912927973,-0.38171358258559457,-0.2385709891159966,0,0,0,0,0,-1.908567912927973,-0.38171358258559457,-0.2385709891159966
C.J. Uzomah,TE,7,-3.5427757385118546,-0.5061108197874078,-0.29523131154265453,0,0,0,0,0,-3.5427757385118546,-0.4428469673139818,-0.29523131154265453
Julian Hill,TE,6,-3.603109935925139,-0.6005183226541898,-0.4003455484361266,0,0,0,0,0,-3.603109935925139,-0.6005183226541898,-0.4003455484361266
Harrison Bryant,TE,14,-4.073997353410753,-0.29099981095791094,-0.13141926946486301,0,0,0,2.241142166143242,0.44822843322864836,-6.315139519553995,-0.371478795267882,-0.2428899815213075
Luke Schoonmaker,TE,12,-4.342166383226832,-0.361847198602236,-0.271385398951677,0,0,0,0,0,-4.342166383226832,-0.482462931469648,-0.271385398951677
Hayden Hurst,TE,9,-4.376073872936508,-0.48623043032627866,-0.13675230852926587,0,0,0,0,0,-4.376073872936508,-0.24311521516313933,-0.13675230852926587
Connor Heyward,TE,12,-5.611470954282264,-0.467622579523522,-0.15166137714276387,-0.2918893173968899,0,-0.2918893173968899,-1.8191959942102458,-1.8191959942102458,-3.500385642675128,-0.14584940177813033,-0.10001101836214651
John Bates,TE,14,-5.672997287584786,-0.40521409197034186,-0.20260704598517093,0,0,0,0,0,-5.672997287584786,-0.2985788046097256,-0.20260704598517093
Juwan Johnson,TE,13,-5.869378411754612,-0.4514906470580471,-0.09948099002973919,0,0,0,0,0,-5.869378411754612,-0.15863184896634086,-0.09948099002973919
Logan Thomas,TE,16,-6.225585414625456,-0.389099088414091,-0.07880487866614502,0,0,0,0.42008685563415643,0.42008685563415643,-6.645672270259613,-0.12083040491381115,-0.08520092654178991
Ian Thomas,TE,7,-7.77887224233505,-1.1112674631907213,-0.8643191380372277,0,0,0,0,0,-7.77887224233505,-1.55577444846701,-0.8643191380372277
David Njoku,TE,17,-8.640503580310323,-0.5082649164888425,-0.06448137000231584,0,0,0,0,0,-8.640503580310323,-0.09818754068534458,-0.06448137000231584
Dawson Knox,TE,12,-9.315919603492048,-0.7763266336243374,-0.23886973342287304,0,0,0,0,0,-9.315919603492048,-0.3881633168121687,-0.23886973342287304
Blake Bell,TE,6,-12.355488228706147,-2.059248038117691,-1.372832025411794,0,0,0,0,0,-12.355488228706147,-2.4710976457412293,-1.372832025411794
Irv Smith,TE,9,-13.930769606790125,-1.5478632896433473,-0.5357988310303894,0,0,0,0,0,-13.930769606790125,-0.7739316448216736,-0.5357988310303894
Zach Ertz,TE,7,-14.704972547367642,-2.100710363909663,-0.34197610575273585,0,0,0,0,0,-14.704972547367642,-0.5446286128654683,-0.34197610575273585
