QB Name,Total Adj EPA,Adj EPA Per Touch,Adj EPA Per Play
J.Allen,172.10002901270687,0.20536996302232324,0.11597036995465422
A.Rodgers,80.58587579111754,0.23912722786681764,0.10993980326209761
P.Mahomes,175.55852102336917,0.19463250667779286,0.10406551335113762
M.Stafford,150.27729397698275,0.1801886018908666,0.08993255175163539
J.Herbert,126.28274656652957,0.16190095713657637,0.08745342560008973
T.Brady,126.91391663393924,0.14587806509648188,0.0784387618256732
J.Burrow,115.55540552788773,0.1464580551684255,0.07204202339643874
Aa.Rodgers,43.57856070745825,0.14873228910395309,0.07085944830481017
J.Winston,35.239354511694785,0.1727419338808568,0.06407155365762689
T.Bridgewater,65.05017087469142,0.13194760826509416,0.05823650033544442
J.Garoppolo,81.68872922854933,0.13798771829146847,0.058058798314534
D.Prescott,73.11578178196969,0.09907287504331935,0.04884153759650614
J.Hurts,59.929137327999484,0.09107771630395059,0.04711410167295557
M.Jones,56.37211446508356,0.08808142885169307,0.03955937857198846
K.Cousins,49.451781467627065,0.07924964978786389,0.03679448025865109
R.Tannehill,48.02600187877993,0.07243740856527893,0.03180529925747015
K.Murray,35.03311414028027,0.05439924555944141,0.028026491312224216
L.Jackson,22.452264617634775,0.0397385214471412,0.02102271967943331
C.Wentz,25.241135958336383,0.04104249749322989,0.01850523164100908
T.Tagovailoa,13.574157070691976,0.02989902438478409,0.012407821819645316
D.Carr,16.49809427675537,0.021426096463318663,0.010940380820129556
R.Wilson,7.8413047062461185,0.01633605147134608,0.00762031555514686
T.Hill,1.1819938224157447,0.005300420728321725,0.0009448391865833291
D.Jones,-3.0103868486395715,-0.006674915407183085,-0.00346419660372793
B.Mayfield,-6.997857893825774,-0.013884638678225742,-0.006270481983714851
M.Ryan,-17.654536039335625,-0.027329003156866292,-0.013466465323673245
D.Lock,-8.400591746465713,-0.06461993651127472,-0.019048960876339484
J.Brissett,-16.15612888080004,-0.060966524078490715,-0.01967859790596838
M.White,-10.18945268123047,-0.07125491385475853,-0.0277641762431348
T.Siemian,-16.260316680959978,-0.07598278822878494,-0.03169652374456136
T.Heinicke,-41.74887851369652,-0.0693502965343796,-0.03196698201661295
T.Lawrence,-60.301361496162045,-0.08410231728892893,-0.04493395044423401
T.Huntley,-27.642030279515428,-0.10755653805258922,-0.04516671614299907
J.Goff,-52.74764831805035,-0.09486987107563014,-0.046067815124934804
B.Roethlisberger,-66.24832102362743,-0.09188394039338062,-0.04642489209784683
A.Dalton,-31.91882507271903,-0.11564791693014141,-0.04828869148671563
D.Mills,-62.902333103900304,-0.14072110314071656,-0.0627141905323034
J.Fields,-63.22342602138916,-0.1672577407973258,-0.06776358630373971
C.Newton,-37.58562589086905,-0.20099265182282916,-0.06808990197621205
S.Darnold,-78.0386733561781,-0.15893823494129958,-0.07703718988763879
T.Taylor,-29.03262248129505,-0.2199441097067807,-0.0967754082709835
Z.Wilson,-95.95490521499119,-0.206799364687481,-0.0979131685867257
M.Glennon,-92.77962505786465,-0.5015114867992684,-0.18819396563461388
