Week,Day,Date,Time,Winner/tie,Unnamed: 5,Loser/tie,Unnamed: 7,PtsW,PtsL,YdsW,TOW,YdsL,TOL,HomeTm,VisTm
1,Wed,2012-09-05,8:41PM,Dallas Cowboys,@,New York Giants,boxscore,24,17,433,1,269,1,New York Giants,Dallas Cowboys
1,Sun,2012-09-09,1:02PM,Chicago Bears,,Indianapolis Colts,boxscore,41,21,428,1,356,5,Chicago Bears,Indianapolis Colts
1,Sun,2012-09-09,1:03PM,Atlanta Falcons,@,Kansas City Chiefs,boxscore,40,24,376,0,393,3,Kansas City Chiefs,Atlanta Falcons
1,Sun,2012-09-09,1:03PM,New York Jets,,Buffalo Bills,boxscore,48,28,384,1,390,4,New York Jets,Buffalo Bills
1,Sun,2012-09-09,1:03PM,Philadelphia Eagles,@,Cleveland Browns,boxscore,17,16,456,5,210,4,Cleveland Browns,Philadelphia Eagles
1,Sun,2012-09-09,1:03PM,Detroit Lions,,St. Louis Rams,boxscore,27,23,429,3,250,0,Detroit Lions,St. Louis Rams
1,Sun,2012-09-09,1:03PM,Houston Texans,,Miami Dolphins,boxscore,30,10,337,0,275,4,Houston Texans,Miami Dolphins
1,Sun,2012-09-09,1:03PM,Washington Redskins,@,New Orleans Saints,boxscore,40,32,459,0,358,3,New Orleans Saints,Washington Redskins
1,Sun,2012-09-09,1:03PM,New England Patriots,@,Tennessee Titans,boxscore,34,13,390,0,284,2,Tennessee Titans,New England Patriots
1,Sun,2012-09-09,1:05PM,Minnesota Vikings,,Jacksonville Jaguars,boxscore,26,23,389,1,355,1,Minnesota Vikings,Jacksonville Jaguars
1,Sun,2012-09-09,4:25PM,Arizona Cardinals,,Seattle Seahawks,boxscore,20,16,253,2,254,2,Arizona Cardinals,Seattle Seahawks
1,Sun,2012-09-09,4:25PM,San Francisco 49ers,@,Green Bay Packers,boxscore,30,22,377,0,324,1,Green Bay Packers,San Francisco 49ers
1,Sun,2012-09-09,4:26PM,Tampa Bay Buccaneers,,Carolina Panthers,boxscore,16,10,258,0,301,2,Tampa Bay Buccaneers,Carolina Panthers
1,Sun,2012-09-09,8:31PM,Denver Broncos,,Pittsburgh Steelers,boxscore,31,19,334,1,284,1,Denver Broncos,Pittsburgh Steelers
1,Mon,2012-09-10,7:10PM,Baltimore Ravens,,Cincinnati Bengals,boxscore,44,13,430,0,322,2,Baltimore Ravens,Cincinnati Bengals
1,Mon,2012-09-10,10:25PM,San Diego Chargers,@,Oakland Raiders,boxscore,22,14,258,0,321,1,Oakland Raiders,San Diego Chargers
2,Thu,2012-09-13,8:29PM,Green Bay Packers,,Chicago Bears,boxscore,23,10,321,2,168,4,Green Bay Packers,Chicago Bears
2,Sun,2012-09-16,1:02PM,Buffalo Bills,,Kansas City Chiefs,boxscore,35,17,379,0,422,3,Buffalo Bills,Kansas City Chiefs
2,Sun,2012-09-16,1:02PM,Cincinnati Bengals,,Cleveland Browns,boxscore,34,27,375,1,439,1,Cincinnati Bengals,Cleveland Browns
2,Sun,2012-09-16,1:02PM,Arizona Cardinals,@,New England Patriots,boxscore,20,18,242,2,387,1,New England Patriots,Arizona Cardinals
2,Sun,2012-09-16,1:02PM,Miami Dolphins,,Oakland Raiders,boxscore,35,13,452,0,396,1,Miami Dolphins,Oakland Raiders
2,Sun,2012-09-16,1:03PM,Carolina Panthers,,New Orleans Saints,boxscore,35,27,463,1,486,2,Carolina Panthers,New Orleans Saints
2,Sun,2012-09-16,1:03PM,Indianapolis Colts,,Minnesota Vikings,boxscore,23,20,278,0,327,1,Indianapolis Colts,Minnesota Vikings
2,Sun,2012-09-16,1:03PM,Houston Texans,@,Jacksonville Jaguars,boxscore,27,7,411,0,117,1,Jacksonville Jaguars,Houston Texans
2,Sun,2012-09-16,1:03PM,New York Giants,,Tampa Bay Buccaneers,boxscore,41,34,604,3,307,2,New York Giants,Tampa Bay Buccaneers
2,Sun,2012-09-16,1:03PM,Philadelphia Eagles,,Baltimore Ravens,boxscore,24,23,486,4,325,2,Philadelphia Eagles,Baltimore Ravens
2,Sun,2012-09-16,4:05PM,St. Louis Rams,,Washington Redskins,boxscore,31,28,452,3,373,1,St. Louis Rams,Washington Redskins
2,Sun,2012-09-16,4:06PM,Seattle Seahawks,,Dallas Cowboys,boxscore,27,7,315,0,296,2,Seattle Seahawks,Dallas Cowboys
2,Sun,2012-09-16,4:25PM,Pittsburgh Steelers,,New York Jets,boxscore,27,10,331,0,219,1,Pittsburgh Steelers,New York Jets
2,Sun,2012-09-16,4:25PM,San Diego Chargers,,Tennessee Titans,boxscore,38,10,416,1,212,1,San Diego Chargers,Tennessee Titans
2,Sun,2012-09-16,8:30PM,San Francisco 49ers,,Detroit Lions,boxscore,27,19,349,1,296,1,San Francisco 49ers,Detroit Lions
2,Mon,2012-09-17,8:41PM,Atlanta Falcons,,Denver Broncos,boxscore,27,21,275,0,336,4,Atlanta Falcons,Denver Broncos
3,Thu,2012-09-20,8:20PM,New York Giants,@,Carolina Panthers,boxscore,36,7,405,0,327,5,Carolina Panthers,New York Giants
3,Sun,2012-09-23,1:02PM,Buffalo Bills,@,Cleveland Browns,boxscore,24,14,344,1,240,2,Cleveland Browns,Buffalo Bills
3,Sun,2012-09-23,1:02PM,Kansas City Chiefs,@,New Orleans Saints,boxscore,27,24,510,3,288,1,New Orleans Saints,Kansas City Chiefs
3,Sun,2012-09-23,1:03PM,Cincinnati Bengals,@,Washington Redskins,boxscore,38,31,478,2,381,1,Washington Redskins,Cincinnati Bengals
3,Sun,2012-09-23,1:03PM,Jacksonville Jaguars,@,Indianapolis Colts,boxscore,22,17,333,0,437,1,Indianapolis Colts,Jacksonville Jaguars
3,Sun,2012-09-23,1:03PM,Tennessee Titans,,Detroit Lions,boxscore,44,41,437,2,583,1,Tennessee Titans,Detroit Lions
3,Sun,2012-09-23,1:03PM,New York Jets,@,Miami Dolphins,boxscore,23,20,388,2,381,2,Miami Dolphins,New York Jets
3,Sun,2012-09-23,1:04PM,Chicago Bears,,St. Louis Rams,boxscore,23,6,274,1,160,2,Chicago Bears,St. Louis Rams
3,Sun,2012-09-23,1:05PM,Dallas Cowboys,,Tampa Bay Buccaneers,boxscore,16,10,297,3,166,2,Dallas Cowboys,Tampa Bay Buccaneers
3,Sun,2012-09-23,1:05PM,Minnesota Vikings,,San Francisco 49ers,boxscore,24,13,344,2,280,3,Minnesota Vikings,San Francisco 49ers
3,Sun,2012-09-23,4:05PM,Atlanta Falcons,@,San Diego Chargers,boxscore,27,3,384,1,280,4,San Diego Chargers,Atlanta Falcons
3,Sun,2012-09-23,4:05PM,Arizona Cardinals,,Philadelphia Eagles,boxscore,27,6,292,0,307,3,Arizona Cardinals,Philadelphia Eagles
3,Sun,2012-09-23,4:25PM,Houston Texans,@,Denver Broncos,boxscore,31,25,436,2,375,1,Denver Broncos,Houston Texans
3,Sun,2012-09-23,4:25PM,Oakland Raiders,,Pittsburgh Steelers,boxscore,34,31,321,1,433,2,Oakland Raiders,Pittsburgh Steelers
3,Sun,2012-09-23,8:31PM,Baltimore Ravens,,New England Patriots,boxscore,31,30,503,1,396,0,Baltimore Ravens,New England Patriots
3,Mon,2012-09-24,8:41PM,Seattle Seahawks,,Green Bay Packers,boxscore,14,12,238,0,268,0,Seattle Seahawks,Green Bay Packers
4,Thu,2012-09-27,8:30PM,Baltimore Ravens,,Cleveland Browns,boxscore,23,16,438,1,357,2,Baltimore Ravens,Cleveland Browns
4,Sun,2012-09-30,1:00PM,St. Louis Rams,,Seattle Seahawks,boxscore,19,13,286,1,319,3,St. Louis Rams,Seattle Seahawks
4,Sun,2012-09-30,1:02PM,New England Patriots,@,Buffalo Bills,boxscore,52,28,580,2,438,6,Buffalo Bills,New England Patriots
4,Sun,2012-09-30,1:03PM,Atlanta Falcons,,Carolina Panthers,boxscore,30,28,426,1,404,1,Atlanta Falcons,Carolina Panthers
4,Sun,2012-09-30,1:03PM,Minnesota Vikings,@,Detroit Lions,boxscore,20,13,227,0,341,1,Detroit Lions,Minnesota Vikings
4,Sun,2012-09-30,1:03PM,Houston Texans,,Tennessee Titans,boxscore,38,14,297,0,325,3,Houston Texans,Tennessee Titans
4,Sun,2012-09-30,1:03PM,San Diego Chargers,@,Kansas City Chiefs,boxscore,37,20,293,1,349,6,Kansas City Chiefs,San Diego Chargers
4,Sun,2012-09-30,1:03PM,San Francisco 49ers,@,New York Jets,boxscore,34,0,381,0,145,4,New York Jets,San Francisco 49ers
4,Sun,2012-09-30,4:05PM,Cincinnati Bengals,@,Jacksonville Jaguars,boxscore,27,10,382,2,212,2,Jacksonville Jaguars,Cincinnati Bengals
4,Sun,2012-09-30,4:05PM,Arizona Cardinals,,Miami Dolphins,boxscore,24,21,297,2,480,4,Arizona Cardinals,Miami Dolphins
