Player,POS,GP,Total EPA,EPA per Game,EPA per Play,Total Passing EPA,EPA per Completion,EPA per Attempt,Rushing EPA,EPA per Carry,Receiving EPA,EPA per Reception,EPA per Target
Tua Tagovailoa,QB,6,76.74568657321454,12.790947762202423,0.36372363304841016,92.39574192796388,0.659969585199742,0.4690139184160603,-15.650055354749345,-1.1178610967678104,0,0,0
Brock Purdy,QB,6,68.46488191633449,11.410813652722416,0.3846341680692949,61.813700237669835,0.5619427294333621,0.37922515483233027,6.651181678664659,0.44341211191097724,0,0,0
Josh Allen,QB,6,54.7710158989716,9.128502649828599,0.24128200836551364,39.3456388739263,0.2676574073056211,0.19192994572646974,15.425377025045304,0.7011535011384229,0,0,0
Patrick Mahomes,QB,6,38.57599965837998,6.429333276396663,0.1524743069501185,34.887359100874015,0.2280219549076733,0.15574713884318755,3.688640557505962,0.12719450198296423,0,0,0
Matthew Stafford,QB,6,30.801986029009665,5.133664338168278,0.12942010936558682,24.874578624416085,0.17895380305335312,0.10957964151725147,5.92740740459358,0.5388552185994163,0,0,0
Jared Goff,QB,6,29.853044716806508,4.975507452801085,0.13631527267948176,37.75573875650031,0.2677711968546121,0.18598886086945965,-7.9026940396938,-0.4939183774808625,0,0,0
Justin Herbert,QB,5,29.310532111472043,5.862106422294408,0.14024178043766528,23.363296177587426,0.1869063694206994,0.12836975921751334,4.1212230285543905,0.1585085780213227,1.8260129053302254,1.8260129053302254,1.8260129053302254
Dak Prescott,QB,6,22.20426761166406,3.700711268610677,0.1062405148883448,20.38675461310109,0.15444511070531128,0.10729870849000574,1.8175129985629717,0.09565857887173534,0,0,0
Jalen Hurts,QB,6,21.585766584521256,3.597627764086876,0.07820929921927991,6.279402632501533,0.04453477044327329,0.029480763532871046,15.306363952019723,0.24295815796856704,0,0,0
C.J. Stroud,QB,6,14.550313279190423,2.425052213198404,0.06271686758271734,15.198011596935933,0.11966938265303884,0.07135216712176494,0.14489931228728542,0.008049961793738078,-0.7925976300327952,-0.7925976300327952,-0.7925976300327952
Kirk Cousins,QB,6,11.288623672489358,1.8814372787482263,0.04607601498975248,11.405417215978865,0.07218618491125864,0.04853369028076113,-0.11679354348950799,-0.011679354348950798,0,0,0
Baker Mayfield,QB,5,11.011050084526348,2.2022100169052696,0.05888262077286817,16.739970042451326,0.15792424568350308,0.10333314841019337,-5.728919957924978,-0.22915679831699912,0,0,0
Jimmy Garoppolo,QB,5,10.243452435013815,2.048690487002763,0.062081529909174635,14.396372211901795,0.14396372211901795,0.09793450484286935,-4.15291977688798,-0.23071776538266558,0,0,0
Andy Dalton,QB,2,6.181916502257742,3.090958251128871,0.10134289347963511,4.666683273401682,0.13725539039416712,0.08046005643796003,1.5152332288560606,0.5050777429520202,0,0,0
Tyrod Taylor,QB,4,5.4277447855837435,1.3569361963959359,0.0904624130930624,4.476601179132977,0.12790289083237077,0.08777649370848975,0.9511436064507665,0.10568262293897406,0,0,0
Brian Hoyer,QB,1,3.573034794831586,3.573034794831586,0.27484883037166047,5.470579269488405,0.9117632115814008,0.5470579269488405,-1.8975444746568189,-0.6325148248856063,0,0,0
Lamar Jackson,QB,6,3.4176775168128923,0.5696129194688154,0.01466814384898237,-5.814105676082477,-0.04805046013291303,-0.03360754726059235,9.231783192895369,0.15386305321492283,0,0,0
Sam Howell,QB,6,2.9817535571390827,0.4969589261898471,0.012797225567120527,-8.463212772691591,-0.05836698463925235,-0.039547723236876595,11.444966329830674,0.6023666489384565,0,0,0
Drew Lock,QB,1,2.505162042467659,2.505162042467659,0.35788029178109415,1.4948878992516117,0.7474439496258058,0.24914798320860196,1.0102741432160474,1.0102741432160474,0,0,0
Taysom Hill,QB,6,1.5987396937583254,0.26645661562638756,0.03899365106727623,0.4069264134224151,0.1356421378074717,0.1356421378074717,2.7196132771653625,0.1133172198818901,-1.527799996829452,-0.13889090880267746,-0.10912857120210372
Malik Willis,QB,1,0.04085326608707274,0.04085326608707274,0.005106658260884092,0.33495351284763253,0.08373837821190813,0.06699070256952651,-0.2941002467605598,-0.09803341558685326,0,0,0
Geno Smith,QB,5,-0.439262240107146,-0.08785244802142919,-0.0024817075712268133,2.31306141502582,0.02083839112635874,0.014104033018450124,-1.26004666606765,-0.10500388883897083,-1.4922769890653163,-1.4922769890653163,-1.4922769890653163
C.J. Beathard,QB,2,-0.5230974082301234,-0.2615487041150617,-0.10461948164602468,0.28035247489077125,0.14017623744538563,0.14017623744538563,-0.8034498831208947,-0.2678166277069649,0,0,0
Anthony Richardson,QB,4,-1.4860625756356023,-0.3715156439089006,-0.0136336016113358,-0.5914289316502401,-0.011828578633004802,-0.007040820614883811,-0.8946336439853623,-0.03578534575941449,0,0,0
Mitchell Trubisky,QB,1,-1.4918594915603023,-1.4918594915603023,-0.29837189831206046,-1.4918594915603023,-0.49728649718676743,-0.29837189831206046,0.0,0.0,0,0,0
Kyle Allen,QB,3,-1.8242963633528144,-0.6080987877842715,-0.2606137661932592,0.0,0.0,0.0,-1.8242963633528144,-0.2606137661932592,0,0,0
Russell Wilson,QB,6,-4.366487646925481,-0.7277479411542469,-0.02109414322186223,-18.41733984498898,-0.15096180200810638,-0.09955318835129179,14.050852198063499,0.6386750999119772,0,0,0
Sam Darnold,QB,4,-4.583734622527405,-1.1459336556318513,-0.7639557704212342,-1.0100872734404946,-1.0100872734404946,-1.0100872734404946,-3.5736473490869107,-0.7147294698173822,0,0,0
Jordan Love,QB,5,-5.803976052453269,-1.1607952104906538,-0.03224431140251816,-14.31388771380501,-0.15904319682005566,-0.08835733156669759,8.50991166135174,0.47277287007509666,0,0,0
Cooper Rush,QB,3,-7.233645637653983,-2.4112152125513275,-0.8037384041837758,-2.255845170010308,-0.563961292502577,-0.4511690340020616,-4.977800467643675,-1.2444501169109188,0,0,0
Derek Carr,QB,6,-7.408666163493708,-1.2347776939156179,-0.03511216191229245,-2.3759270064584306,-0.018276361588141773,-0.011879635032292153,-5.032739157035277,-0.4575217415486615,0,0,0
Mike White,QB,2,-7.991967203742664,-3.995983601871332,-1.1417096005346663,-4.121114734641717,-2.0605573673208584,-1.3737049115472388,-3.870852469100947,-0.9677131172752368,0,0,0
Aidan O'Connell,QB,1,-8.590835650327682,-8.590835650327682,-0.2045437059601829,-7.81690704825401,-0.3257044603439171,-0.20043351405779514,-0.7739286020736722,-0.25797620069122407,0,0,0
Blaine Gabbert,QB,1,-9.054019564436523,-9.054019564436523,-1.2934313663480748,-6.559376836199986,-2.186458945399995,-1.3118753672399972,-2.494642728236537,-1.2473213641182685,0,0,0
Bailey Zappe,QB,2,-9.265380653733164,-4.632690326866582,-0.5147433696518424,-9.265380653733164,-1.3236258076761662,-0.5147433696518424,0.0,0.0,0,0,0
Deshaun Watson,QB,3,-10.06338152572431,-3.35446050857477,-0.0860118079121736,-13.72699944288899,-0.2111846068136768,-0.13457842591067637,3.663617917164681,0.2442411944776454,0,0,0
Jameis Winston,QB,3,-10.570112880939146,-3.5233709603130485,-0.5285056440469573,-6.017443927483496,-0.6017443927483497,-0.35396728985197035,-4.552668953455649,-1.5175563178185498,0,0,0
P.J. Walker,QB,1,-13.930748236383062,-13.930748236383062,-0.37650670909143413,-12.604845539450775,-0.7002691966361542,-0.3707307511603169,-1.3259026969322878,-0.44196756564409595,0,0,0
Tyson Bagent,QB,1,-15.192878607063367,-15.192878607063367,-0.9495549129414604,-15.689902672963584,-1.5689902672963583,-1.120707333783113,0.49702406590021575,0.24851203295010788,0,0,0
Gardner Minshew,QB,5,-18.526567803663877,-3.705313560732775,-0.1286567208587769,-14.12018619191557,-0.15689095768795078,-0.10232018979648964,-4.406381611748307,-0.7343969352913845,0,0,0
Joe Burrow,QB,6,-19.61590936529989,-3.2693182275499812,-0.07973946896463369,-14.234887453331355,-0.09683596907028133,-0.0613572735057386,-5.381021911968532,-0.3843587079977523,0,0,0
Justin Fields,QB,6,-21.6369278844711,-3.60615464741185,-0.10352597073909617,-28.61400146663533,-0.2861400146663533,-0.17662963868293413,6.977073582164232,0.14844837408860068,0,0,0
Ryan Tannehill,QB,6,-21.75911924636059,-3.626519874393432,-0.12799481909623878,-16.810354548441637,-0.17153423008613916,-0.10639464904076985,-4.9487646979189535,-0.4123970581599128,0,0,0
Dorian Thompson-Robinson,QB,1,-24.034235075993415,-24.034235075993415,-0.6008558768998353,-24.458459271736974,-1.2872873300914196,-0.6794016464371382,0.4242241957435592,0.1060560489358898,0,0,0
