Player,POS,TM,GP,Total EPA,EPA per Game,EPA per Play ( all plays contributed ),EPA per Play ( all offense ),Total Passing EPA,EPA per Completion,EPA per Attempt,Rushing EPA,EPA per Carry,Receiving EPA,EPA per Reception,EPA per Target
Trey McBride,TE,['ARI'],17,74.63400460246343,4.390235564850791,0.44162132900865936,0.053501078568074144,0.0,0.0,0.0,0.0,0.0,74.63400460246343,0.5923333698608209,0.44162132900865936
Dalton Kincaid,TE,['BUF'],14,48.62003423269735,3.4728595880498108,0.8103339038782892,0.031798583540024426,0.0,0.0,0.0,0.0,0.0,48.62003423269735,1.0129173798478615,0.8103339038782892
Colston Loveland,TE,['CHI'],18,47.388441147715916,2.6326911748731066,0.4387818624788511,0.029580799717675355,0.0,0.0,0.0,-0.8211211721502477,-0.8211211721502477,48.209562319866166,0.6887080331409452,0.45055665719501087
George Kittle,TE,['SF'],12,46.57698625289754,3.881415521074795,0.6469025868457992,0.031176028281725263,0.0,0.0,0.0,-1.1642164267165107,-1.1642164267165107,47.741202679614055,0.8231241841312769,0.6724113053466768
AJ Barner,TE,['SEA'],20,43.76762908869668,2.188381454434834,0.5089259196360079,0.028218974267373746,0.0,0.0,0.0,7.774136581035322,0.7067396891850293,35.99349250766136,0.6205774570286441,0.47991323343548475
Dalton Schultz,TE,['HOU'],19,42.891810097445315,2.257463689339227,0.38296259015576173,0.027146715251547666,0.0,0.0,0.0,0.0,0.0,42.891810097445315,0.4930093114648887,0.38296259015576173
Travis Kelce,TE,['KC'],17,40.28604981403597,2.369767636119763,0.36959678728473366,0.029863639595282408,0.0,0.0,0.0,-1.8591600312915166,-1.8591600312915166,42.145209845327486,0.5545422348069406,0.390233424493773
Hunter Henry,TE,['NE'],21,40.108034712298476,1.909906414871356,0.3932160265911615,0.024161466694155708,0.0,0.0,0.0,0.0,0.0,40.108034712298476,0.5812758653956301,0.3932160265911615
Dallas Goedert,TE,['PHI'],16,38.54603720647042,2.4091273254044014,0.4282893022941158,0.027513231410756903,0.0,0.0,0.0,1.059338426118809,1.059338426118809,37.48669878035162,0.585729668442994,0.42119886270058
Tucker Kraft,TE,['GB'],8,36.40619345859039,4.550774182323798,0.8090265213020086,0.026457989432115105,0.0,0.0,0.0,-0.6509156946009091,-0.6509156946009091,37.0571091531913,1.158034661037228,0.8422070262088931
