Player,POS,TM,GP,Total EPA,EPA per Game,EPA per Play ( all plays contributed ),EPA per Play ( all offense ),Total Passing EPA,EPA per Completion,EPA per Attempt,Rushing EPA,EPA per Carry,Receiving EPA,EPA per Reception,EPA per Target
Drake Maye,QB,['NE'],18,158.7012,8.8167,0.2495,0.1126,148.8926,0.4013,0.2858,12.7682,0.113,-2.9595,-2.9595,-1.4798
Jordan Love,QB,['GB'],16,137.6286,8.6018,0.2582,0.1,125.5901,0.3987,0.2589,12.0385,0.2508,0.0,0.0,0.0
Matthew Stafford,QB,['LA'],18,131.9511,7.3306,0.1969,0.0895,164.3378,0.3989,0.2572,-32.3867,-1.0447,0.0,0.0,0.0
Josh Allen,QB,['BUF'],17,127.4632,7.4978,0.2063,0.0886,81.997,0.2363,0.1657,45.4662,0.3696,0.0,0.0,0.0
Patrick Mahomes,QB,['KC'],14,101.9404,7.2815,0.1798,0.0756,75.0158,0.2381,0.1494,29.2844,0.4576,-2.3598,-2.3598,-2.3598
Dak Prescott,QB,['DAL'],17,99.3468,5.8439,0.1521,0.0682,109.9366,0.2721,0.1832,-10.5898,-0.1998,0.0,0.0,0.0
Brock Purdy,QB,['SF'],10,96.2144,9.6214,0.2695,0.0676,79.1804,0.3683,0.2514,17.034,0.4056,0.0,0.0,0.0
Jared Goff,QB,['DET'],17,92.2227,5.4249,0.1545,0.0676,106.3685,0.2707,0.184,-14.1458,-0.7445,0.0,0.0,0.0
Daniel Jones,QB,['IND'],13,81.3898,6.2608,0.1897,0.0618,65.5867,0.2513,0.1708,15.8031,0.3512,0.0,0.0,0.0
Sam Darnold,QB,['SEA'],17,68.5885,4.0346,0.134,0.0524,81.6422,0.2528,0.1712,-13.0537,-0.373,0.0,0.0,0.0
C.J. Stroud,QB,['HOU'],15,65.4235,4.3616,0.1298,0.0439,50.9612,0.1733,0.112,14.4623,0.2951,0.0,0.0,0.0
Trevor Lawrence,QB,['JAX'],18,65.2699,3.6261,0.0963,0.044,43.0713,0.12,0.073,22.1986,0.2523,0.0,0.0,0.0
Bo Nix,QB,['DEN'],17,58.425,3.4368,0.0839,0.0419,50.5408,0.1303,0.0826,8.3718,0.1009,-0.4877,0.0,-0.4877
Caleb Williams,QB,['CHI'],18,55.5246,3.0847,0.0794,0.0367,46.499,0.1314,0.0755,3.9489,0.0488,5.0768,2.5384,2.5384
Mac Jones,QB,['SF'],11,47.3814,4.3074,0.1458,0.0333,52.678,0.2621,0.1823,-5.2967,-0.1471,0.0,0.0,0.0
Baker Mayfield,QB,['TB'],17,44.6401,2.6259,0.0746,0.0321,9.0103,0.0263,0.0166,35.6298,0.6478,0.0,0.0,0.0
Jaxson Dart,QB,['NYG'],14,42.5329,3.0381,0.1001,0.0301,4.042,0.0187,0.0119,38.491,0.4476,0.0,0.0,0.0
Jalen Hurts,QB,['PHI'],17,41.8074,2.4593,0.0698,0.0298,26.1161,0.0832,0.0534,15.6913,0.1426,0.0,0.0,0.0
Joe Burrow,QB,['CIN'],8,41.6147,5.2018,0.1524,0.03,37.5896,0.2173,0.1451,4.0251,0.2875,0.0,0.0,0.0
Lamar Jackson,QB,['BAL'],13,39.1445,3.0111,0.1061,0.0307,18.7792,0.0978,0.0622,20.3653,0.304,0.0,0.0,0.0
Malik Willis,QB,['GB'],4,28.8683,7.2171,0.5065,0.021,27.5041,0.9168,0.7858,1.3642,0.062,0.0,0.0,0.0
Jameis Winston,QB,['NYG'],3,20.5041,6.8347,0.2771,0.0145,12.7437,0.3444,0.1931,4.5345,0.6478,3.2259,3.2259,3.2259
Justin Herbert,QB,['LAC'],17,20.1645,1.1861,0.0317,0.0137,2.296,0.0064,0.0042,17.8685,0.1921,0.0,0.0,0.0
Tyler Huntley,QB,['BAL'],5,16.3378,3.2676,0.1795,0.0128,5.4462,0.1047,0.0813,10.8916,0.4538,0.0,0.0,0.0
Mitchell Trubisky,QB,['BUF'],4,14.117,3.5292,0.3208,0.0098,21.0554,0.8422,0.6016,-6.9384,-0.7709,0.0,0.0,0.0
Kyler Murray,QB,['ARI'],5,12.6859,2.5372,0.0668,0.0091,7.7765,0.0707,0.0483,4.9094,0.1693,0.0,0.0,0.0
Michael Penix Jr.,QB,['ATL'],9,12.4667,1.3852,0.042,0.0091,5.6634,0.0341,0.0205,6.8033,0.324,0.0,0.0,0.0
Jacoby Brissett,QB,['ARI'],14,12.3888,0.8849,0.0237,0.0089,4.2791,0.0136,0.0088,8.1097,0.2134,0.0,0.0,0.0
Carson Wentz,QB,['MIN'],5,9.6227,1.9245,0.0535,0.0077,12.754,0.1159,0.0755,-3.1313,-0.2847,0.0,0.0,0.0
Riley Leonard,QB,['IND'],5,5.3901,1.078,0.0738,0.0041,-0.0286,-0.0007,-0.0004,5.4187,0.9031,0.0,0.0,0.0
Mason Rudolph,QB,['PIT'],6,4.1853,0.6976,0.0698,0.0031,2.8225,0.0724,0.0533,1.3628,0.1947,0.0,0.0,0.0
Tua Tagovailoa,QB,['MIA'],14,2.4713,0.1765,0.0061,0.002,9.9065,0.0381,0.0258,-7.4353,-0.3718,0.0,0.0,0.0
Aaron Rodgers,QB,['PIT'],17,2.1986,0.1293,0.004,0.0016,6.1953,0.018,0.0117,-2.4241,-0.1154,-1.5726,-1.5726,-1.5726
Tyson Bagent,QB,['CHI'],2,1.9022,0.9511,0.317,0.0013,2.2125,0.7375,0.5531,-0.3103,-0.1552,0.0,0.0,0.0
Marcus Mariota,QB,['WAS'],10,0.7766,0.0777,0.0028,0.0006,-4.3371,-0.0312,-0.0191,5.1137,0.1023,0.0,0.0,0.0
Nick Mullens,QB,['JAX'],4,0.1685,0.0421,0.0112,0.0001,2.7105,0.9035,0.9035,-2.5419,-0.2118,0.0,0.0,0.0
Jimmy Garoppolo,QB,['LA'],3,-0.0308,-0.0103,-0.0034,-0.0,0.0,0.0,0.0,-0.0308,-0.0034,0.0,0.0,0.0
Kyle Allen,QB,['DET'],2,-1.5099,-0.7549,-0.302,-0.0011,-1.5467,0.0,-0.7734,0.0368,0.0123,0.0,0.0,0.0
Joe Milton III,QB,['DAL'],4,-1.547,-0.3868,-0.0533,-0.0011,1.1915,0.0794,0.0496,-2.7386,-0.5477,0.0,0.0,0.0
Josh Johnson,QB,['WAS'],3,-1.8718,-0.6239,-0.0284,-0.0014,2.9353,0.0863,0.0544,-4.8071,-0.4006,0.0,0.0,0.0
Drew Lock,QB,['SEA'],3,-1.9279,-0.6426,-0.2142,-0.0015,-0.923,-0.4615,-0.3077,-1.0049,-0.1675,0.0,0.0,0.0
Anthony Richardson,QB,['IND'],2,-3.3808,-1.6904,-0.483,-0.0026,-1.3031,-1.3031,-0.6516,-2.4895,-0.6224,0.4118,0.4118,0.4118
Jayden Daniels,QB,['WAS'],7,-4.1404,-0.5915,-0.0168,-0.0032,-5.109,-0.0448,-0.0272,0.9686,0.0167,0.0,0.0,0.0
Aidan O'Connell,QB,['LV'],1,-6.3413,-6.3413,-0.2757,-0.0051,-6.5034,-0.6503,-0.2956,0.1621,0.1621,0.0,0.0,0.0
Philip Rivers,QB,['IND'],3,-6.4059,-2.1353,-0.0681,-0.0049,-5.4072,-0.0932,-0.0588,-0.9987,-0.4994,0.0,0.0,0.0
Zach Wilson,QB,['MIA'],4,-6.9971,-1.7493,-0.4998,-0.0057,-6.746,-1.1243,-0.6133,-0.2511,-0.0837,0.0,0.0,0.0
Gardner Minshew,QB,['KC'],4,-7.1015,-1.7754,-0.3738,-0.0053,-6.759,-1.1265,-0.5199,-0.3425,-0.0571,0.0,0.0,0.0
Joshua Dobbs,QB,['NE'],4,-7.9485,-1.9871,-0.3974,-0.0056,-1.0885,-0.1555,-0.1089,-6.8599,-0.686,0.0,0.0,0.0
Shane Buechele,QB,['KC'],1,-8.2635,-8.2635,-0.5509,-0.0061,-7.4659,-1.0666,-0.5333,-0.7976,-0.7976,0.0,0.0,0.0
Kirk Cousins,QB,['ATL'],10,-9.7692,-0.9769,-0.0345,-0.0072,-7.5467,-0.0455,-0.0281,-2.2225,-0.1588,0.0,0.0,0.0
Quinn Ewers,QB,['MIA'],4,-9.9105,-2.4776,-0.1077,-0.0081,-3.7959,-0.069,-0.0457,-4.5854,-0.5732,-1.5293,-1.5293,-1.5293
Tyler Shough,QB,['NO'],11,-10.3764,-0.9433,-0.0279,-0.0075,-10.5473,-0.0477,-0.0323,0.1708,0.0038,0.0,0.0,0.0
Tyrod Taylor,QB,['NYJ'],6,-10.5068,-1.7511,-0.0653,-0.008,-15.5945,-0.1949,-0.1164,5.0876,0.1884,0.0,0.0,0.0
Teddy Bridgewater,QB,['TB'],3,-11.5851,-3.8617,-0.6436,-0.0083,-11.5009,-1.4376,-0.7667,-0.0842,-0.0281,0.0,0.0,0.0
Tanner McKee,QB,['PHI'],4,-12.3596,-3.0899,-0.2423,-0.0088,-6.4286,-0.2679,-0.1495,-5.931,-0.7414,0.0,0.0,0.0
Andy Dalton,QB,['CAR'],4,-14.7133,-3.6783,-0.3503,-0.0106,-5.7244,-0.229,-0.1547,-8.989,-1.7978,0.0,0.0,0.0
Davis Mills,QB,['HOU'],6,-15.2157,-2.5359,-0.0885,-0.0102,-14.3661,-0.1579,-0.0904,-0.8495,-0.0653,0.0,0.0,0.0
Spencer Rattler,QB,['NO'],9,-15.2201,-1.6911,-0.0525,-0.011,-17.345,-0.0997,-0.0675,7.1763,0.2315,-5.0514,-5.0514,-2.5257
Clayton Tune,QB,['GB'],2,-15.8516,-7.9258,-0.7926,-0.0115,-18.3485,-2.6212,-1.2232,2.4969,0.4994,0.0,0.0,0.0
Cooper Rush,QB,['BAL'],4,-19.7789,-4.9447,-0.3532,-0.0155,-14.3813,-0.423,-0.2766,-5.3976,-1.3494,0.0,0.0,0.0
Brandon Allen,QB,['TEN'],1,-21.7576,-21.7576,-0.7253,-0.0164,-21.7576,-1.2799,-0.7253,0.0,0.0,0.0,0.0,0.0
Jake Browning,QB,['CIN'],5,-23.1316,-4.6263,-0.1726,-0.0167,-30.1181,-0.3718,-0.2409,6.9865,0.7763,0.0,0.0,0.0
Bryce Young,QB,['CAR'],17,-25.1718,-1.4807,-0.0438,-0.0182,-35.9553,-0.1106,-0.0694,10.7835,0.1892,0.0,0.0,0.0
Justin Fields,QB,['NYJ'],9,-25.4577,-2.8286,-0.0922,-0.0193,-31.736,-0.2479,-0.1556,7.0459,0.0992,-0.7676,0.0,-0.7676
Russell Wilson,QB,['NYG'],6,-28.6072,-4.7679,-0.2088,-0.0202,-26.4261,-0.383,-0.2221,-2.1811,-0.1212,0.0,0.0,0.0
Kenny Pickett,QB,['LV'],6,-29.1723,-4.8621,-0.5834,-0.0236,-26.0035,-0.9287,-0.5779,-3.1688,-0.6338,0.0,0.0,0.0
Trey Lance,QB,['LAC'],4,-35.2554,-8.8139,-0.4764,-0.0239,-36.6347,-1.3568,-0.6427,1.3793,0.0811,0.0,0.0,0.0
Chris Oladokun,QB,['KC'],3,-36.4154,-12.1385,-0.6069,-0.027,-30.8528,-0.8815,-0.561,-5.5626,-1.1125,0.0,0.0,0.0
Dillon Gabriel,QB,['CLE'],10,-44.8431,-4.4843,-0.2253,-0.0332,-45.3834,-0.4126,-0.2453,0.5403,0.0386,0.0,0.0,0.0
Joe Flacco,QB,['CLE' 'CIN'],13,-53.48,-4.1138,-0.1224,-0.0195,-58.9127,-0.2347,-0.1416,5.4327,0.2587,0.0,0.0,0.0
Max Brosmer,QB,['MIN'],7,-53.7525,-7.6789,-0.6891,-0.043,-53.3577,-1.1353,-0.7515,-0.3949,-0.0564,0.0,0.0,0.0
Shedeur Sanders,QB,['CLE'],8,-56.4765,-7.0596,-0.2424,-0.0418,-65.73,-0.5477,-0.31,9.2535,0.4406,0.0,0.0,0.0
J.J. McCarthy,QB,['MIN'],10,-58.8563,-5.8856,-0.2102,-0.0471,-64.89,-0.4635,-0.267,6.0336,0.1631,0.0,0.0,0.0
Geno Smith,QB,['LV'],15,-66.7093,-4.4473,-0.1364,-0.054,-64.7883,-0.2145,-0.1446,-1.921,-0.0469,0.0,0.0,0.0
Brady Cook,QB,['NYJ'],5,-70.7718,-14.1544,-0.4263,-0.0538,-66.3196,-0.7536,-0.4335,-4.4521,-0.3425,0.0,0.0,0.0
Cam Ward,QB,['TEN'],17,-76.9514,-4.5266,-0.1329,-0.0581,-86.9821,-0.2693,-0.1611,10.0306,0.2572,0.0,0.0,0.0
