Player,POS,TM,GP,Total EPA,EPA per Game,EPA per Play ( all plays contributed ),EPA per Play ( all offense ),Total Passing EPA,EPA per Completion,EPA per Attempt,Rushing EPA,EPA per Carry,Receiving EPA,EPA per Reception,EPA per Target
Drew Brees,QB,['NO'],18,252.7174,14.0399,0.3191,0.157,265.9766,0.4889,0.3472,-13.2592,-0.51,0,0,0
Tom Brady,QB,['NE'],19,241.589,12.7152,0.3121,0.1484,230.8682,0.485,0.3198,10.7208,0.2062,0,0,0
Aaron Rodgers,QB,['GB'],16,227.3834,14.2115,0.3703,0.1617,216.4326,0.5881,0.3957,10.9509,0.1634,0,0,0
Eli Manning,QB,['NYG'],20,129.9931,6.4997,0.1635,0.0762,144.2604,0.3102,0.1918,-14.2672,-0.3318,0,0,0
Matthew Stafford,QB,['DET'],17,109.3091,6.4299,0.1477,0.0735,102.4136,0.2246,0.143,6.8956,0.2873,0,0,0
Cam Newton,QB,['CAR'],16,95.3876,5.9617,0.1481,0.0727,52.7804,0.1703,0.1021,40.3739,0.3204,2.2333007534746705,2.2333007534746705,2.2333007534746705
Philip Rivers,QB,['LAC'],16,92.737,5.7961,0.1525,0.07,102.2373,0.2793,0.1757,-9.5003,-0.3654,0,0,0
Tony Romo,QB,['DAL'],16,87.022,5.4389,0.16,0.0663,98.2838,0.2841,0.1883,-11.2617,-0.5119,0,0,0
Ben Roethlisberger,QB,['PIT'],16,86.831,5.4269,0.1479,0.0631,90.5344,0.2617,0.1637,-3.7034,-0.1089,0,0,0
Mike Vick,QB,['PHI'],13,81.9819,6.3063,0.1643,0.0623,56.5903,0.2237,0.1338,25.3916,0.3341,0,0,0
Matt Ryan,QB,['ATL'],17,72.5432,4.2672,0.1121,0.0499,80.0935,0.2159,0.1319,-7.5503,-0.1888,0,0,0
Matt Schaub,QB,['HOU'],10,53.8528,5.3853,0.1754,0.0365,60.6014,0.3405,0.2075,-6.7486,-0.4499,0,0,0
Alex Smith,QB,['SF' 'CLE'],27,40.3499,1.4944,0.0676,0.0145,25.8089,0.0835,0.0503,8.0328,0.1361,6.508169807676066,0.46486927197686184,0.26032679230704264
Carson Palmer,QB,['LV'],10,35.4077,3.5408,0.1029,0.0263,37.2109,0.187,0.1134,-1.8031,-0.1127,0,0,0
Joe Flacco,QB,['BAL'],18,30.7783,1.7099,0.0473,0.0205,37.0619,0.1065,0.0613,-6.2802,-0.1396,-0.0034173445286223743,-0.0034173445286223743,-0.0034173445286223743
Matt Flynn,QB,['GB'],5,19.4986,3.8997,0.3145,0.0139,19.6959,0.5968,0.402,-0.1974,-0.0152,0,0,0
Jason Campbell,QB,['LV'],6,17.7415,2.9569,0.0969,0.0132,20.113,0.2011,0.1219,-2.3715,-0.1318,0,0,0
Chad Henne,QB,['MIA'],4,15.5439,3.886,0.1224,0.0122,4.2597,0.0666,0.038,11.2842,0.7523,0,0,0
Joe Webb,QB,['MIN'],8,12.704,1.588,0.1412,0.0097,5.3001,0.1559,0.0841,10.0759,0.458,-2.6720691397681824,-2.6720691397681824,-0.5344138279536365
Jake Locker,QB,['TEN'],5,11.7683,2.3537,0.159,0.0092,8.9527,0.2633,0.1356,2.8155,0.3519,0,0,0
Dan Orlovsky,QB,['IND'],8,11.0213,1.3777,0.0554,0.0089,9.3158,0.0764,0.0483,1.7055,0.2842,0,0,0
Matt Hasselbeck,QB,['TEN'],16,10.7006,0.6688,0.0199,0.0084,8.2625,0.0259,0.016,2.4381,0.1219,0,0,0
Kyle Orton,QB,['DEN' 'KC'],9,6.4904,0.7212,0.0247,0.0023,8.8593,0.0591,0.0352,-2.3689,-0.2154,0,0,0
Josh McCown,QB,['CHI'],3,1.8773,0.6258,0.028,0.0014,-3.2092,-0.0917,-0.0583,5.0865,0.4239,0,0,0
Colin Kaepernick,QB,['SF'],2,1.7779,0.8889,0.254,0.0012,1.9243,0.6414,0.3849,-0.1465,-0.0732,0,0,0
Charlie Batch,QB,['PIT'],3,0.6261,0.2087,0.0232,0.0005,0.654,0.0436,0.0273,-0.0279,-0.0093,0,0,0
Jon Kitna,QB,['DAL'],3,0.5829,0.1943,0.0448,0.0004,0.7925,0.1321,0.0792,-0.2096,-0.0699,0,0,0
Andy Dalton,QB,['CIN'],17,-1.4212,-0.0836,-0.0024,-0.001,6.1731,0.0189,0.0111,-6.9657,-0.1741,-0.6285762443586963,0,-0.6285762443586963
Brian Hoyer,QB,['NE'],2,-1.7098,-0.8549,-0.342,-0.0011,-0.5774,-0.5774,-0.5774,-1.1323,-0.2831,0,0,0
Jake Delhomme,QB,['HOU'],1,-2.2254,-2.2254,-0.0795,-0.0015,-2.2254,-0.1236,-0.0795,0.0,0.0,0,0,0
Matt Leinart,QB,['HOU'],2,-2.4686,-1.2343,-0.1763,-0.0017,-2.3954,-0.2395,-0.1843,-0.0732,-0.0732,0,0,0
T.J. Yates,QB,['HOU'],8,-2.4696,-0.3087,-0.012,-0.0017,-5.174,-0.047,-0.0274,2.7044,0.169,0,0,0
Brad Smith,QB,['BUF'],13,-2.8548,-0.2196,-0.0453,-0.0022,-2.304,0.0,-2.304,0.6675,0.0334,-1.218368332462467,-0.05297253619402031,-0.02900876982053493
Stephen McGee,QB,['DAL'],1,-3.051,-3.051,-0.0726,-0.0023,-4.4971,-0.1874,-0.1183,1.4461,0.3615,0,0,0
Billy Volek,QB,['LAC'],2,-3.7631,-1.8815,-0.7526,-0.0028,0.0,0.0,0.0,-3.7631,-0.7526,0,0,0
Richard Bartel,QB,['ARI'],2,-3.8903,-1.9452,-0.1691,-0.003,-8.1004,-0.81,-0.3682,4.2101,4.2101,0,0,0
Jay Cutler,QB,['CHI'],10,-4.495,-0.4495,-0.0135,-0.0035,5.2169,0.0287,0.0166,-9.712,-0.5396,0,0,0
Bruce Gradkowski,QB,['CIN'],2,-4.5221,-2.2611,-0.2153,-0.0032,-4.8564,-0.607,-0.2698,0.3343,0.1114,0,0,0
Mike Kafka,QB,['PHI'],3,-4.613,-1.5377,-0.2428,-0.0035,-4.4675,-0.4061,-0.2792,-0.1455,-0.0485,0,0,0
Tyler Thigpen,QB,['BUF'],2,-5.3243,-2.6622,-0.5916,-0.0041,-5.6007,-1.8669,-0.7001,0.2764,0.2764,0,0,0
J.P. Losman,QB,['MIA'],1,-7.7168,-7.7168,-0.6431,-0.0061,-4.3977,-0.7329,-0.4398,-3.3191,-1.6596,0,0,0
Chase Daniel,QB,['NO'],3,-8.4588,-2.8196,-1.0574,-0.0053,-3.3576,-0.8394,-0.6715,-5.1012,-1.7004,0,0,0
Seneca Wallace,QB,['CLE'],6,-8.9506,-1.4918,-0.0778,-0.0069,-15.5154,-0.2821,-0.145,5.1727,0.739,1.3921605014030614,1.3921605014030614,1.3921605014030614
Josh Johnson,QB,['TB'],9,-10.4833,-1.1648,-0.2139,-0.0083,-7.4035,-0.3897,-0.2057,-2.1263,-0.1933,-0.9535037258931894,0,-0.4767518629465947
Kevin Kolb,QB,['ARI'],9,-11.437,-1.2708,-0.0424,-0.0089,-10.7682,-0.0738,-0.0426,-0.6688,-0.0393,0,0,0
Chris Redman,QB,['ATL'],4,-12.7376,-3.1844,-0.386,-0.0088,-9.2266,-0.5126,-0.3295,-3.5111,-0.7022,0,0,0
Matt Moore,QB,['MIA'],13,-13.066,-1.0051,-0.0345,-0.0103,-3.835,-0.0183,-0.0111,-9.231,-0.2885,0,0,0
Vince Young,QB,['PHI'],5,-13.1611,-2.6322,-0.0997,-0.01,-9.1399,-0.1385,-0.0802,-4.0212,-0.2234,0,0,0
Donovan McNabb,QB,['MIN'],6,-13.1842,-2.1974,-0.0776,-0.0101,-14.863,-0.1581,-0.0953,1.6788,0.1199,0,0,0
Kyle Boller,QB,['LV'],2,-14.32,-7.16,-0.387,-0.0106,-14.1662,-0.9444,-0.5059,-0.1539,-0.0171,0,0,0
Kellen Clemens,QB,['LA'],3,-15.7524,-5.2508,-0.1607,-0.0117,-11.5372,-0.2404,-0.1268,0.3579,0.0597,-4.573181443307852,0,-4.573181443307852
John Beck,QB,['WAS'],4,-16.9184,-4.2296,-0.1191,-0.0128,-21.6477,-0.2706,-0.164,4.7293,0.4729,0,0,0
Tarvaris Jackson,QB,['SEA'],15,-17.1185,-1.1412,-0.0349,-0.0129,0.7603,0.0028,0.0017,-17.8788,-0.447,0,0,0
Ryan Fitzpatrick,QB,['BUF'],16,-19.9463,-1.2466,-0.0319,-0.0153,-17.6903,-0.0501,-0.0311,-2.256,-0.0403,0,0,0
A.J. Feeley,QB,['LA'],4,-22.3957,-5.5989,-0.224,-0.0167,-23.2521,-0.4387,-0.2397,0.8565,0.2855,0,0,0
Charlie Whitehurst,QB,['SEA'],3,-23.3671,-7.789,-0.3895,-0.0176,-24.0683,-0.8914,-0.4298,0.7012,0.1753,0,0,0
