Name,Total Adj EPA,Adj EPA Per Rush,Adj EPA Per Reception,Adj EPA Per Touch,Adj EPA Per Play
C.McCaffrey,25.819911842662002,0.03965775057470221,1.6830477979065859,0.4072581558989393,0.09527642746369742
A.Kamara,95.54984725194727,0.057600925774197086,1.1575079818437022,0.36390415657836306,0.0673360445750157
A.Ekeler,56.58267244001476,-0.13176649107710317,1.3246216912218984,0.33085093153552086,0.06602412186699505
D.Cook,69.5196576758402,0.058543589557952504,1.301421819613693,0.21087406900768116,0.0592160627562523
C.Samuel,64.40537319489839,-0.07860852909206797,1.1912343899959832,0.7500177825162366,0.0542589496165951
C.Beasley,76.22071590656317,-0.9499586280842304,1.1938334234648746,1.1717324744798323,0.05146570959254772
A.Jones,64.63508681040726,0.09741963655263322,1.1699601397169668,0.3002272953327981,0.05081374749245854
J.Taylor,64.11897188349324,0.03155815465629007,1.4611884293034763,0.20799986576780988,0.048464831355626035
T.Kelce,70.48308382535349,1.0470698784434576,1.3471572048728258,1.3449667864317356,0.04615788069767746
D.Waller,60.597152576498765,1.0397033300957186,1.2904819909644525,1.2881599663267789,0.04563038597627919
A.Brown,55.561907425594974,0.19054162258419285,1.499489332760363,1.46974052116545,0.04539371521698936
J.White,46.801291917399,-0.19294573356509584,1.1542721691953024,0.5929313763784698,0.04448792007357319
L.Fournette,55.90077986372105,0.010606501147231825,1.079587490186095,0.2778517484069476,0.04228500746121108
J.Robinson,47.01721040339378,-0.0802313974435951,1.3003822601373674,0.15144692180800476,0.041755959505678314
D.Adams,53.51675838241057,0.0,1.2834969223394526,1.2834969223394526,0.04174474132793336
S.Diggs,64.36266416491218,-0.8436116108673206,1.2074449462632457,1.1799139857648488,0.041152598570915716
W.Fuller,32.270905903806465,-0.8980392716434668,1.7319445400944726,1.6832411361733994,0.038740583317894914
J.Jackson,25.914258522132084,-0.0403577873352456,1.4700107126677335,0.32289539620977464,0.03744835046550879
C.Godwin,48.240106633274706,0.08120477494877573,1.5985966225026256,1.5800918438739202,0.036909033384295874
S.Michel,22.367767379390926,0.08253105366597271,2.15467545756029,0.2511939702620218,0.03678909108452455
J.Smith-Schuster,52.38943291622265,0.03729662371565558,1.2163144168389863,1.1952605276760697,0.03625566291780114
T.Lockett,50.34286251637965,0.0,1.2347664728758827,1.2347664728758827,0.03603640838681435
D.Swift,37.21308993068359,-0.046859281245920134,1.0623905098346975,0.27205003368975744,0.03537365962992736
N.Chubb,41.248473787676474,0.08678987150197728,1.2558297727001138,0.19262887490263164,0.03492673479058127
J.McKissic,49.14967606703443,-0.03567688516052114,1.0516694590973614,0.4919112818758479,0.03446681351124434
D.Harris,38.642954087186055,0.050695282537253195,1.2845733846365752,0.3591648080620837,0.03392708875082182
Darr.Williams,31.116045715266864,0.20638143793845493,1.4922042117832384,0.5321232073124667,0.03385859163794001
N.Hines,46.907831487334526,-0.08590051780071706,0.9962956067040846,0.3469779320012036,0.03322084382955703
J.Williams,40.82452890080999,0.035953519051941135,1.0209065282046461,0.24936000436836056,0.031894163203757805
C.Edmonds,43.512471520066015,-0.054151730146747484,1.0520437452973526,0.33670400451016785,0.0313264733765774
J.Conner,36.68519082065879,-0.0033243148129318448,0.9737747651682384,0.1727295734719637,0.030724615427687427
M.Gaskin,24.779644499505515,-0.17927691408785246,1.2996775526655266,0.15207354021208494,0.03062996847899322
R.Burkhead,23.62446386213316,0.05665007414182904,1.2832420350447196,0.38996310699587544,0.029828868512794395
J.Dobbins,40.405434734945814,0.14523801055424485,1.0572417401345136,0.2585944063212839,0.029775559863629928
D.Henry,41.372196815767204,0.06063111383889977,0.7510426798556528,0.09679552920168208,0.029615029932546316
A.Gibson,36.33900564553294,0.015140869072619073,0.9497339546013791,0.1751162620910555,0.029071204516426353
H.Renfrow,38.023867086360696,0.0,1.2443726536919608,1.2443726536919608,0.028632430034910162
J.Landry,38.564654272263304,0.29330455629549823,1.2939992820163797,1.248513158119976,0.02802663827926112
W.Gallman,17.764299574072215,0.08474985506860416,0.8896587348494476,0.21235736039971348,0.02687488589118338
I.Smith,33.347748002393054,-0.012924975724118892,1.1228740398843922,0.46799893178579116,0.026593100480377236
L.Murray,35.62136089660209,0.02438987681976658,1.274824131936028,0.20302334183637535,0.026543488000448652
M.Davis,29.05701557459487,-0.104487671255216,0.8879982292848715,0.1569260257620392,0.026013442770451988
J.Jefferson,33.58897408414147,0.15788471205806326,1.4467784024048425,1.3907395463028087,0.025029041791461603
E.Sanders,32.81605998369308,1.1557400292660414,1.1773780192794097,1.1770689051363616,0.024823040834866174
D.Montgomery,32.175316625953464,-0.04890986466389633,0.8499649169067913,0.10567369649794167,0.02417379160477345
S.Shepard,22.693000141148357,0.5815065073623044,1.0787883974792427,1.0250281931422764,0.023762303812720792
C.Edwards-Helaire,30.07007123819306,-0.047046215045874945,1.3119830026910408,0.17849480406791107,0.023292076869243266
K.Ballage,18.199396675317214,-0.06497823096561711,0.9070720539644384,0.16993392122581294,0.023213516167496447
T.Johnson,25.70705574593166,0.021034176412767374,1.734950117589373,0.6494700215108561,0.02295272834458184
L.Shenault Jr.,20.369553507353583,-0.0679368285117265,1.24181184699555,1.0120313776083085,0.02283582231766097
C.Carson,23.73456862218334,0.10458496244192145,1.1495271402218576,0.3071757928278274,0.022223378859722226
K.Hunt,30.987385437540397,-0.0423592199147942,1.3529470343912664,0.17911796330839,0.021022649550570146
D.Johnson,23.989079344966605,-0.09879548640553439,1.11901755726688,0.43178696000775807,0.01980931407511693
G.Edwards,25.827413869673123,0.08862571358668993,1.4592644480080748,0.16076459434571017,0.018086424278482578
D.Hopkins,24.7725377701352,0.038227348549612156,1.1250447298495299,1.1064666549555142,0.017834800410464507
K.Bourne,22.408458964640943,1.0743443081693282,1.5034323301065358,1.4948505696677916,0.017658360098219812
T.Pollard,24.396368302031547,0.0029713668371243417,1.1145551144181123,0.24424535856012947,0.0175009815653024
J.Crowder,16.415668129836792,0.8747319247526667,1.333269582270471,1.3256272879785074,0.01744491831013474
D.Henderson,21.064948887559233,0.04533636947304347,1.515222022461239,0.19805176199129754,0.016521528539262142
A.Hooper,19.75071014224447,0.0,1.259256299583196,1.259256299583196,0.01590234310969764
B.Aiyuk,16.138777242446736,1.24387786483399,1.412738904106672,1.3973879005364283,0.015869004171530712
G.Bernard,21.04383348935903,-0.15488741931391586,1.1449361003208554,0.20237401590733703,0.015576486668659534
K.Drake,19.672719717248942,-0.012111935477972593,0.9429288552200132,0.07832753333812455,0.015074881009386162
G.Ward,20.081467170407727,-0.6099629736437638,1.1460834007148146,1.052009487802748,0.014530728777429615
J.Meyers,13.098628647620535,0.4550720454220121,0.9683410066522606,0.9435054117540227,0.014473622815050314
K.Allen,18.2458331268895,0.006903270539183361,1.245477082764828,1.1328794634715877,0.0144693363417046
J.Wilson,13.480429976313618,-0.05856101711076819,1.9418552606482622,0.12852827505374542,0.01443300853995034
M.Hardman,22.778416961017292,0.6767664459859363,1.4864276995034666,1.3852200428137753,0.014317043972983843
C.Davis,16.611775838458527,0.0,1.248956350609227,1.248956350609227,0.013582809352787021
R.Woods,20.637706406180715,0.0322729703788392,1.1675577279870535,0.9440764764893735,0.013577438425118892
S.Perine,12.023396995655922,-0.011202666739121077,1.1603295751726983,0.1629440178693926,0.013539861481594508
T.Higgins,16.445206975928777,0.20962835195461355,1.4524063067127162,1.366102282076737,0.013010448556905677
H.Hurst,17.424449394805748,-0.9455030184936151,1.1419239484422052,1.1053024227064892,0.012765164391799083
M.Pittman,14.940970799304647,0.5355773556234744,1.3021198552127038,1.2395449572870525,0.01267257913427027
D.Singletary,19.075309554636267,-0.10099255407032887,0.9545971893667022,0.12174656610445751,0.012196489485061551
T.Boyd,15.055165293150027,0.439484758275947,1.3002720223642803,1.2490346852161653,0.011958034386934097
E.Elliott,15.062068678926934,-0.08477792570281864,1.055989065998655,0.11428208627193516,0.011454044622758125
N.Fant,13.489892502598192,1.0547205830840354,1.16835654473436,1.166552799311339,0.011441808738420859
C.Kupp,15.004111601667276,0.5765421778339365,1.1408281530924729,1.1182567140821313,0.010983976282333292
W.Gallman Jr.,4.518826823966817,-0.014975192278719992,0.6202325069309037,0.044113896019849656,0.010019571671766779
R.Mostert,6.8982016355364895,-0.09204130585209577,1.0373809562737304,0.05854832909801438,0.010011903680023932
C.Hyde,9.155558175758015,0.007058983896138112,1.109115852205164,0.18164225016291452,0.009940888355871895
D.Moore,11.329143350252782,0.5649296025297056,1.6085702859835072,1.5069769451163229,0.008913566758656791
T.Patrick,11.093250296298146,-0.9588858870555087,1.5258612041300712,1.4780776062226562,0.008888822352803001
J.Graham,11.851189918703108,0.0,1.1608353855625217,1.1608353855625217,0.008501570960332215
R.Jones,11.16427964815229,0.0034735683673957907,0.5936375875764873,0.06827589204525683,0.008090057716052384
M.Sanders,7.474436296921702,0.010157630550555418,1.1363448285943423,0.17104151598538211,0.007132095703169563
J.Mixon,3.934128638902269,-0.15818605332876742,1.2482004613976339,0.05277192388019277,0.007075770933277463
D.Schultz,9.74565255971169,0.0,0.8910953512777591,0.8910953512777591,0.006991142438817568
C.Lamb,9.53568432945961,0.8057522711188522,1.2081710831963122,1.1560933545745233,0.006840519605064282
M.Breida,4.681570791552789,-0.08557121359746105,1.036660421348641,0.06295944396893481,0.005933549799179707
A.Cooper,8.206930376245007,0.003766681780174294,1.110778093021875,1.0325045588936739,0.005887324516675041
S.Ahmed,2.762258921560802,-0.06517232524738145,0.7369168893923103,0.0362412536151083,0.005502507811874107
B.Scott,7.334856713168456,-0.04339521313091095,0.8980335098849003,0.18075448282523457,0.0053074216448396935
A.Thielen,6.19877697264995,0.025092461614140672,1.3305098246626497,1.247888472570972,0.004962991971697318
A.Mattison,4.829830256594827,-0.07416489838257741,1.1915137187697384,0.07678759724109328,0.0045823816476231755
K.Johnson,4.694388741590325,-0.18663107541946028,1.3094155389739883,0.4048292139919031,0.003832154074767612
D.Amendola,3.818202330630859,0.7823693734383868,1.3075318698609464,1.2963581997242961,0.003358137493958539
T.McLaurin,4.291455683760681,0.5626362813499479,1.1966455833596883,1.176832792671884,0.003190673370825785
D.Booker,3.938563992516098,0.02053100797968625,0.6978147051772042,0.12520212481930268,0.003171146531816504
B.Hill,4.180990601394795,-0.1401012425721322,0.8339607474027043,0.05471115542283512,0.0030629967775786045
R.Gage,4.0404301499478406,-0.09370235959355704,1.2301565289351775,1.1943765589749413,0.002960022087873876
B.Cooks,3.286286657609799,0.0,1.2722481080953258,1.2722481080953258,0.0028676148844762645
C.Patterson,2.870162500517223,-0.14818792831895602,0.9901918170768207,0.12978852113815223,0.0021993582379442322
A.Peterson,2.4633687770016284,-0.07305232384830525,1.1767985662099665,0.016222739727285586,0.0018934425649512901
Z.Moss,1.075866385552759,-0.08509803895621659,0.982104543951962,0.05511835879814264,0.0009219077853922528
J.McKinnon,0.20773489549204172,-0.1184667652826811,0.9252415236875725,0.1810321350305221,0.00017816028772902378
T.Hockenson,0.21500801347965215,-1.9652024227632743,1.2415120706974734,1.1485638245102052,0.00016526365371226145
T.Gurley,-0.5539415571180335,-0.09714880496059479,1.0937355962776445,0.038178967907386945,-0.00043583128018728046
R.Anderson,-1.9680718043905656,0.011785280257771317,1.1259406857621581,1.0702329154869388,-0.0015484435911806182
E.Ebron,-2.2859170092215244,1.0394823118540217,1.1457524292073913,1.1440919586237448,-0.0016758922354996513
L.Fitzgerald,-1.9781200459917794,0.0,0.762447804446666,0.762447804446666,-0.001714142154238977
P.Barber,-2.6985875464855864,-0.05164917985792724,0.507851042607745,-0.02904311026335462,-0.0022525772508226933
M.Gordon,-3.007578598340478,-0.07936810993274375,0.45563456843122274,-0.010056022047533517,-0.0023964769707892257
Z.Pascal,-4.921043673203148,-0.964620753867933,1.4057227684960447,1.3563406117801284,-0.0034851584087840994
M.Evans,-6.477456370154328,-0.9460414104878009,1.5930655454414089,1.5318822452985363,-0.003940058619315285
L.Bell,-3.7538794836776574,-0.22140272456488888,1.1828162229707764,0.003272307040817566,-0.0045446482853240405
L.Perine,-3.504814870193437,-0.19248335506557746,1.0112911475743738,-0.015929761345051266,-0.004922492795215502
H.Henry,-6.996913148014162,0.0,1.0992367406488615,1.0992367406488615,-0.0055487019413276465
J.Kelley,-7.551758658591403,-0.29911821150069706,1.1152331659993902,-0.056356407899935845,-0.006427028645609705
L.Thomas,-9.388173152167717,-0.47846486847323516,1.1093454034797579,1.012527703970429,-0.006583571635461232
M.Ingram,-5.2961590582095806,-0.12794185082027978,0.9336900352981954,-0.04627785958039709,-0.006781253595658874
C.Claypool,-9.804045235597448,-0.24656751547188843,1.5968954440212204,1.29733271310359,-0.006784806391416919
J.Jacobs,-10.079030519831726,-0.1419721024814441,1.0046831789155066,-0.0183131995856945,-0.008147963233493715
D.Byrd,-8.781808118130465,0.46363335786497367,1.3876183350858655,1.3499046625462372,-0.008169123830819037
A.Robinson,-13.116890846546431,-0.9063774575268871,1.1486269094790282,1.1297736584055795,-0.009409534323204039
C.Akers,-10.640353830067854,-0.12262567069711523,1.2204278039940601,-0.03135019183460817,-0.009525831539899601
J.Brown,-10.281546018589129,0.0,1.442000838572954,1.442000838572954,-0.010610470607419122
R.Gronkowski,-18.264311300894292,0.0,1.6545730186627547,1.6545730186627547,-0.011109678406870008
J.Wilkins,-12.481676502336613,-0.2643953273898715,1.1123592737291716,-0.09581313133447845,-0.012431948707506586
D.Metcalf,-17.411078568444974,0.0,1.576170565979857,1.576170565979857,-0.012463191530740854
J.Cook,-17.78787210113712,0.0,1.1162007188792782,1.1162007188792782,-0.01257093434709337
M.Thomas,-16.669659081669582,-0.48814268330984106,0.862741663627383,0.8177121853961421,-0.014791179309378512
M.Gallup,-21.45699359810836,0.0,1.2932938293743275,1.2932938293743275,-0.015392391390321636
N.Agholor,-20.65235386780138,0.0,1.8608118903741044,1.8608118903741044,-0.015551471285995015
J.Reynolds,-22.53459963061618,0.15281476857078122,1.093839580232844,1.0770355657388786,-0.015769488894762897
M.Brown,-23.575290078582857,-0.1525713415909146,1.3325457476206355,0.5218296554423497,-0.01650930677771909
D.Mooney,-22.741147521834044,0.23242924534330173,1.183232352410007,1.1112018139958626,-0.017098607159273718
Da.Johnson,-12.347623056009812,-0.10793747445055185,0.9684842848079226,0.025572201116390712,-0.017843385919089325
J.Smith,-23.751845015568783,-0.39455342563409973,1.1984157134205269,1.1225600401322113,-0.01814503056957126
M.Gesicki,-22.300874491833763,0.0,1.2382645320578203,1.2382645320578203,-0.018219668702478566
E.Engram,-23.034245740204014,0.20255557031246374,0.9791740626130079,0.911642019804265,-0.01844215031241314
M.Jones,-24.612133669607786,-0.9422563121640644,1.2684495397899012,1.2397390741801093,-0.018917858316378006
P.Lindsay,-16.835402747235037,-0.19284912619900169,0.8201935139682581,-0.13611873834963512,-0.019196582379971537
G.Davis,-30.61364770444158,-0.747440289832889,1.6746851648642247,1.6141320284967968,-0.01957394354503937
C.Kirk,-25.230742914069534,0.8946169859994666,1.3293932761455975,1.3120022245397525,-0.020265656959091997
M.Valdes-Scantling,-26.621912685459446,-0.17674071608492756,2.0227410558218204,1.827231564985665,-0.02087993151800741
D.Parker,-24.819029327189416,-0.9534979985872966,1.1200648471004062,1.0876654276365358,-0.021732950374071292
T.Hilton,-28.97787215293696,1.029006810498177,1.4077483018089334,1.4013289544985814,-0.02177150424713521
A.Miller,-30.373269567994534,0.07680899093169534,1.178937255381823,1.1177079073568157,-0.0217885721434681
B.Snell,-31.860681142005006,-0.2831371458692674,1.0303171934330604,-0.16662103512470605,-0.023154564783433872
M.Andrews,-31.792919754513157,0.0,1.1779052753179924,1.1779052753179924,-0.024683943908783507
M.Williams,-31.241543257420698,-0.7244763146865668,1.6011683818829354,1.5603675977325933,-0.025235495361406058
C.Ridley,-34.060175049461314,-0.37596701248039144,1.3476354557658663,1.223251772490363,-0.026713862783891228
K.Cole Sr.,-31.353034324615884,-0.7168698143092843,1.2618296950339223,1.167605908874722,-0.02994559152303332
F.Gore,-36.27262719495785,-0.2414722758956816,0.8365867707779199,-0.15650210472928935,-0.031108599652622512
Z.Ertz,-30.92199563611096,0.06708252089460887,0.8824521026717098,0.8395379141571255,-0.03214344660718395
D.Slayton,-42.874321796862745,-0.7447304967911935,1.3883887544048519,1.3063457062819273,-0.03432691897266833
J.Jeudy,-77.74119400663878,0.04381707231956246,1.502977059818877,1.4489340973189024,-0.058364259764743825
D.Chark Jr.,-68.86302631487298,-0.9574736966906913,1.215129347890318,1.168903751197105,-0.07772350599872797
A.Green,-115.26151906957324,0.0,1.1520290057995428,1.1520290057995428,-0.08531570619509492
