QB Name,Total Adj EPA,Adj EPA Per Touch,Adj EPA Per Play
A.Rodgers,156.47014186887742,0.2297652597193501,0.1091144643437081
P.Mahomes,152.27400489130295,0.1875295626740184,0.0997210248142128
R.Tannehill,110.50728179467123,0.1889013364011474,0.0791032797384905
D.Watson,92.89219198128097,0.1344315368759493,0.07576850895699916
J.Allen,95.98912070453473,0.11200597515114905,0.061374118097528595
R.Fitzpatrick,42.36089592864616,0.13363058652569765,0.05899846229616457
P.Rivers,77.63095433119732,0.12263973827993258,0.05497942941302926
D.Prescott,22.792858964588806,0.08903460533042502,0.0488069785108968
T.Brady,72.05286929182436,0.08765555874917806,0.04382777937458903
K.Cousins,55.31444913579823,0.09173208811906837,0.04121792036944726
L.Jackson,53.715629145502945,0.083022610734935,0.03958410401289827
B.Mayfield,47.28370330731508,0.07296867794338746,0.032078496137934245
J.Herbert,29.53798750368227,0.04280867754156851,0.022242460469640263
J.Garoppolo,9.426977460169493,0.05855265503210865,0.01955804452317322
K.Murray,23.58326097446721,0.032573564881860785,0.016978589614447235
M.Trubisky,11.4376740691951,0.029863378770744388,0.01244578244743754
D.Brees,12.012326721383142,0.02397670004268092,0.010346534643740862
J.Burrow,8.249953998235904,0.017441763209801064,0.00905593194098343
D.Carr,11.051776849978715,0.018924275428045746,0.008322121121971924
M.Stafford,10.321715138540629,0.01711727220321829,0.007933678046533919
T.Hill,8.140485420881088,0.033362645167545446,0.005437866012612617
M.Ryan,5.3177107256807625,0.00757508650381875,0.0038957587733925
R.Wilson,3.419553777558621,0.004697189254888216,0.002447783663248834
G.Minshew II,-3.5979800702795597,-0.013732748359845648,-0.007403251173414732
T.Bridgewater,-11.879281117197666,-0.02048151916758218,-0.010024709803542333
G.Minshew,-2.4547025117906704,-0.019028701641788142,-0.010580614274959786
B.Roethlisberger,-20.34278961136586,-0.027905061195289245,-0.014914068630033622
J.Hurts,-20.981005260949644,-0.09122176200412889,-0.01731106044632809
C.Newton,-22.835526958340363,-0.04213196855782355,-0.02015492229332777
J.Goff,-31.922583459375936,-0.046466642590066866,-0.022307885017034196
N.Mullens,-31.39548421649612,-0.08769688328630201,-0.03621163116089518
A.Dalton,-36.56565160531155,-0.09497571845535467,-0.03914951992003378
T.Tagovailoa,-43.16257601132668,-0.12262095457763261,-0.05238176700403723
B.Allen,-20.24892413287028,-0.12499335884487826,-0.055476504473617204
J.Flacco,-26.958713533976564,-0.1833926090746705,-0.0662376253906058
D.Lock,-78.2427227671676,-0.15163318365730155,-0.07067996636600507
D.Jones,-78.91429041163384,-0.13991895463055645,-0.07083868080038945
M.Glennon,-37.371445696568756,-0.18685722848284378,-0.09204789580435654
A.Smith,-61.02237973067317,-0.2148675342629337,-0.09217882134542775
N.Foles,-77.52075861063794,-0.22276080060528144,-0.10281267720243759
D.Haskins,-62.544166480311645,-0.21945321572039173,-0.10547076978130125
C.Wentz,-116.78914265399794,-0.21043088766486115,-0.11494994355708459
S.Darnold,-108.42159254619907,-0.2464127103322706,-0.116457134850912
J.Luton,-46.15668053475696,-0.384639004456308,-0.19312418633789522
